id,longitude,latitude,start_date,end_date,label
1,-55.43765,-11.62280,2000-02-18,2016-06-25,NoClass
2,-55.21244,-11.48784,2000-02-18,2016-06-25,NoClass
3,-55.22592,-11.49665,2000-02-18,2016-06-25,NoClass
4,-55.51810,-11.63884,2000-02-18,2016-06-25,NoClass
5,-55.50054,-11.71186,2000-02-18,2016-06-25,NoClass
6,-57.94160,-13.42545,2000-02-18,2016-06-25,NoClass
7,-57.95584,-13.43302,2000-02-18,2016-06-25,NoClass
8,-54.2313,-14.0482,2000-02-18,2016-06-25,Savanna
9,-52.5824,-15.3168,2000-02-18,2016-06-25,Savanna
10,-54.5421,-14.3098,2000-02-18,2016-06-25,Savanna
11,-56.0231,-14.1694,2000-02-18,2016-06-25,Pasture
12,-56.0230,-14.1607,2000-02-18,2016-06-25,Pasture
