id,longitude,latitude,start_date,end_date,label
1,-54.0345001,-4.9787598,2015-08-01,2016-07-31,primary_forest
3,-53.2510986,-5.8346701,2015-08-01,2016-07-31,primary_forest
4,-53.9117012,-4.9870300,2015-08-01,2016-07-31,primary_forest
5,-52.8839989,-5.1991100,2015-08-01,2016-07-31,primary_forest
6,-53.7444000,-4.9991899,2015-08-01,2016-07-31,primary_forest
7,-53.1296005,-5.1686301,2015-08-01,2016-07-31,primary_forest
8,-54.0503006,-5.1358399,2015-08-01,2016-07-31,primary_forest
9,-52.9556007,-5.1815400,2015-08-01,2016-07-31,primary_forest
10,-53.6281013,-5.1325598,2015-08-01,2016-07-31,primary_forest
11,-54.3018990,-6.3325200,2015-08-01,2016-07-31,primary_forest
12,-53.6241989,-5.3754301,2015-08-01,2016-07-31,primary_forest
13,-52.6731987,-5.3588500,2015-08-01,2016-07-31,primary_forest
14,-54.1030998,-5.6302199,2015-08-01,2016-07-31,primary_forest
15,-53.6459007,-5.5004201,2015-08-01,2016-07-31,primary_forest
16,-52.8745995,-5.6215301,2015-08-01,2016-07-31,primary_forest
17,-53.3750992,-5.3749199,2015-08-01,2016-07-31,primary_forest
18,-52.7233009,-5.6559901,2015-08-01,2016-07-31,primary_forest
19,-54.0775986,-5.3810000,2015-08-01,2016-07-31,primary_forest
20,-52.9177017,-5.4010401,2015-08-01,2016-07-31,primary_forest
21,-52.8781013,-5.2781901,2015-08-01,2016-07-31,primary_forest
22,-53.1259995,-5.6248598,2015-08-01,2016-07-31,primary_forest
23,-53.3700981,-5.8753500,2015-08-01,2016-07-31,primary_forest
24,-53.7389984,-5.7603402,2015-08-01,2016-07-31,primary_forest
29,-53.8723984,-6.3636899,2015-08-01,2016-07-31,primary_forest
30,-53.5098000,-6.0294499,2015-08-01,2016-07-31,primary_forest
31,-53.5489006,-6.0051098,2015-08-01,2016-07-31,primary_forest
32,-53.5098991,-6.0003400,2015-08-01,2016-07-31,primary_forest
34,-52.7280998,-5.8465099,2015-08-01,2016-07-31,primary_forest
35,-53.1118011,-5.8546300,2015-08-01,2016-07-31,primary_forest
36,-53.8739014,-5.6239400,2015-08-01,2016-07-31,primary_forest
38,-52.9679985,-5.7711201,2015-08-01,2016-07-31,primary_forest
41,-53.8919983,-5.1111798,2015-08-01,2016-07-31,primary_forest
44,-52.9229012,-6.0447402,2015-08-01,2016-07-31,primary_forest
46,-53.0915985,-6.0000100,2015-08-01,2016-07-31,primary_forest
49,-53.8606987,-5.1766500,2015-08-01,2016-07-31,primary_forest
51,-53.8143997,-6.2502298,2015-08-01,2016-07-31,primary_forest
54,-52.6645012,-5.2015300,2015-08-01,2016-07-31,primary_forest
55,-53.6627007,-5.3192401,2015-08-01,2016-07-31,primary_forest
56,-53.6833000,-5.3719301,2015-08-01,2016-07-31,primary_forest
57,-53.1250000,-5.3747301,2015-08-01,2016-07-31,primary_forest
59,-54.0703011,-5.3748102,2015-08-01,2016-07-31,primary_forest
60,-53.8750000,-5.3750100,2015-08-01,2016-07-31,primary_forest
61,-53.7195015,-5.7501798,2015-08-01,2016-07-31,primary_forest
62,-53.1141014,-5.5448098,2015-08-01,2016-07-31,primary_forest
64,-53.8950996,-5.6824698,2015-08-01,2016-07-31,primary_forest
65,-53.8834000,-5.6732302,2015-08-01,2016-07-31,primary_forest
66,-53.8885002,-5.6825800,2015-08-01,2016-07-31,primary_forest
67,-53.8787994,-5.6668601,2015-08-01,2016-07-31,primary_forest
68,-52.6841011,-5.5138001,2015-08-01,2016-07-31,primary_forest
69,-52.6927986,-5.5223899,2015-08-01,2016-07-31,primary_forest
70,-52.7206993,-5.5175099,2015-08-01,2016-07-31,primary_forest
71,-54.2617989,-5.9451299,2015-08-01,2016-07-31,primary_forest
73,-53.7242012,-5.7578902,2015-08-01,2016-07-31,primary_forest
77,-53.7206993,-5.7503800,2015-08-01,2016-07-31,primary_forest
80,-53.7498016,-5.7748599,2015-08-01,2016-07-31,primary_forest
81,-53.7498016,-5.7737899,2015-08-01,2016-07-31,primary_forest
86,-53.2603989,-5.7572598,2015-08-01,2016-07-31,primary_forest
109,-54.2829018,-6.1428299,2015-08-01,2016-07-31,primary_forest
110,-54.1739998,-6.1355801,2015-08-01,2016-07-31,primary_forest
112,-54.0582008,-6.0238400,2015-08-01,2016-07-31,primary_forest
113,-54.0461998,-6.1506600,2015-08-01,2016-07-31,primary_forest
115,-52.8097000,-5.3294702,2015-08-01,2016-07-31,primary_forest
116,-54.1073990,-5.8711400,2015-08-01,2016-07-31,primary_forest
117,-52.6980019,-5.5493898,2015-08-01,2016-07-31,primary_forest
119,-53.8801003,-5.8766398,2015-08-01,2016-07-31,primary_forest
120,-53.9757004,-5.1696301,2015-08-01,2016-07-31,primary_forest
121,-53.3787994,-5.1506500,2015-08-01,2016-07-31,primary_forest
122,-53.8716011,-5.1249199,2015-08-01,2016-07-31,primary_forest
123,-54.0276985,-6.3374400,2015-08-01,2016-07-31,primary_forest
124,-54.1516991,-6.3430800,2015-08-01,2016-07-31,primary_forest
125,-53.3337660,-6.6861610,2015-08-01,2016-07-31,primary_forest
126,-53.4438160,-6.6773090,2015-08-01,2016-07-31,primary_forest
127,-53.5171800,-6.6442060,2015-08-01,2016-07-31,primary_forest
128,-52.5239930,-5.2082010,2015-08-01,2016-07-31,primary_forest
