id,longitude,latitude,start_date,end_date,label
1,-54.0345001,-4.9787598,2015-08-01,2016-07-31,primary_forest
3,-53.2510986,-5.8346701,2015-08-01,2016-07-31,primary_forest
4,-53.9117012,-4.9870300,2015-08-01,2016-07-31,primary_forest
5,-52.8839989,-5.1991100,2015-08-01,2016-07-31,primary_forest
6,-53.7444000,-4.9991899,2015-08-01,2016-07-31,primary_forest
7,-53.1296005,-5.1686301,2015-08-01,2016-07-31,primary_forest
8,-54.0503006,-5.1358399,2015-08-01,2016-07-31,primary_forest
9,-52.9556007,-5.1815400,2015-08-01,2016-07-31,primary_forest
10,-53.6281013,-5.1325598,2015-08-01,2016-07-31,primary_forest
11,-54.3018990,-6.3325200,2015-08-01,2016-07-31,primary_forest
12,-53.6241989,-5.3754301,2015-08-01,2016-07-31,primary_forest
13,-52.6731987,-5.3588500,2015-08-01,2016-07-31,primary_forest
14,-54.1030998,-5.6302199,2015-08-01,2016-07-31,primary_forest
15,-53.6459007,-5.5004201,2015-08-01,2016-07-31,primary_forest
16,-52.8745995,-5.6215301,2015-08-01,2016-07-31,primary_forest
17,-53.3750992,-5.3749199,2015-08-01,2016-07-31,primary_forest
18,-52.7233009,-5.6559901,2015-08-01,2016-07-31,primary_forest
19,-54.0775986,-5.3810000,2015-08-01,2016-07-31,primary_forest
20,-52.9177017,-5.4010401,2015-08-01,2016-07-31,primary_forest
21,-52.8781013,-5.2781901,2015-08-01,2016-07-31,primary_forest
22,-53.1259995,-5.6248598,2015-08-01,2016-07-31,primary_forest
23,-53.3700981,-5.8753500,2015-08-01,2016-07-31,primary_forest
24,-53.7389984,-5.7603402,2015-08-01,2016-07-31,primary_forest
29,-53.8723984,-6.3636899,2015-08-01,2016-07-31,primary_forest
30,-53.5098000,-6.0294499,2015-08-01,2016-07-31,primary_forest
31,-53.5489006,-6.0051098,2015-08-01,2016-07-31,primary_forest
32,-53.5098991,-6.0003400,2015-08-01,2016-07-31,primary_forest
34,-52.7280998,-5.8465099,2015-08-01,2016-07-31,primary_forest
35,-53.1118011,-5.8546300,2015-08-01,2016-07-31,primary_forest
36,-53.8739014,-5.6239400,2015-08-01,2016-07-31,primary_forest
38,-52.9679985,-5.7711201,2015-08-01,2016-07-31,primary_forest
41,-53.8919983,-5.1111798,2015-08-01,2016-07-31,primary_forest
44,-52.9229012,-6.0447402,2015-08-01,2016-07-31,primary_forest
46,-53.0915985,-6.0000100,2015-08-01,2016-07-31,primary_forest
49,-53.8606987,-5.1766500,2015-08-01,2016-07-31,primary_forest
51,-53.8143997,-6.2502298,2015-08-01,2016-07-31,primary_forest
54,-52.6645012,-5.2015300,2015-08-01,2016-07-31,primary_forest
55,-53.6627007,-5.3192401,2015-08-01,2016-07-31,primary_forest
56,-53.6833000,-5.3719301,2015-08-01,2016-07-31,primary_forest
57,-53.1250000,-5.3747301,2015-08-01,2016-07-31,primary_forest
59,-54.0703011,-5.3748102,2015-08-01,2016-07-31,primary_forest
60,-53.8750000,-5.3750100,2015-08-01,2016-07-31,primary_forest
61,-53.7195015,-5.7501798,2015-08-01,2016-07-31,primary_forest
62,-53.1141014,-5.5448098,2015-08-01,2016-07-31,primary_forest
64,-53.8950996,-5.6824698,2015-08-01,2016-07-31,primary_forest
65,-53.8834000,-5.6732302,2015-08-01,2016-07-31,primary_forest
66,-53.8885002,-5.6825800,2015-08-01,2016-07-31,primary_forest
67,-53.8787994,-5.6668601,2015-08-01,2016-07-31,primary_forest
68,-52.6841011,-5.5138001,2015-08-01,2016-07-31,primary_forest
69,-52.6927986,-5.5223899,2015-08-01,2016-07-31,primary_forest
70,-52.7206993,-5.5175099,2015-08-01,2016-07-31,primary_forest
71,-54.2617989,-5.9451299,2015-08-01,2016-07-31,primary_forest
73,-53.7242012,-5.7578902,2015-08-01,2016-07-31,primary_forest
77,-53.7206993,-5.7503800,2015-08-01,2016-07-31,primary_forest
80,-53.7498016,-5.7748599,2015-08-01,2016-07-31,primary_forest
81,-53.7498016,-5.7737899,2015-08-01,2016-07-31,primary_forest
86,-53.2603989,-5.7572598,2015-08-01,2016-07-31,primary_forest
109,-54.2829018,-6.1428299,2015-08-01,2016-07-31,primary_forest
110,-54.1739998,-6.1355801,2015-08-01,2016-07-31,primary_forest
112,-54.0582008,-6.0238400,2015-08-01,2016-07-31,primary_forest
113,-54.0461998,-6.1506600,2015-08-01,2016-07-31,primary_forest
115,-52.8097000,-5.3294702,2015-08-01,2016-07-31,primary_forest
116,-54.1073990,-5.8711400,2015-08-01,2016-07-31,primary_forest
117,-52.6980019,-5.5493898,2015-08-01,2016-07-31,primary_forest
119,-53.8801003,-5.8766398,2015-08-01,2016-07-31,primary_forest
120,-53.9757004,-5.1696301,2015-08-01,2016-07-31,primary_forest
121,-53.3787994,-5.1506500,2015-08-01,2016-07-31,primary_forest
122,-53.8716011,-5.1249199,2015-08-01,2016-07-31,primary_forest
123,-54.0276985,-6.3374400,2015-08-01,2016-07-31,primary_forest
124,-54.1516991,-6.3430800,2015-08-01,2016-07-31,primary_forest
125,-53.3337660,-6.6861610,2015-08-01,2016-07-31,primary_forest
126,-53.4438160,-6.6773090,2015-08-01,2016-07-31,primary_forest
127,-53.5171800,-6.6442060,2015-08-01,2016-07-31,primary_forest
128,-52.5239930,-5.2082010,2015-08-01,2016-07-31,primary_forest
129,-53.41151061,-6.525220837,2014-08-01,2015-07-31,clear_cut2015
130,-53.93533631,-6.228306996,2014-08-01,2015-07-31,clear_cut2015
131,-53.7210591,-6.015912138,2014-08-01,2015-07-31,clear_cut2015
132,-53.2715842,-6.202929574,2014-08-01,2015-07-31,clear_cut2015
133,-53.30309433,-6.069632453,2014-08-01,2015-07-31,clear_cut2015
134,-53.94497256,-6.108518574,2014-08-01,2015-07-31,clear_cut2015
135,-53.13391035,-6.23180979,2014-08-01,2015-07-31,clear_cut2015
136,-53.35867495,-6.47299912,2014-08-01,2015-07-31,clear_cut2015
137,-53.34219663,-6.468860563,2014-08-01,2015-07-31,clear_cut2015
138,-53.25648006,-6.469208222,2014-08-01,2015-07-31,clear_cut2015
139,-54.01914591,-6.319532315,2014-08-01,2015-07-31,clear_cut2015
140,-53.72904515,-6.046530891,2015-08-01,2016-07-31,clear_cut2016
141,-53.71200945,-6.141331669,2015-08-01,2016-07-31,clear_cut2016
142,-53.57805865,-6.190478542,2015-08-01,2016-07-31,clear_cut2016
143,-53.33956797,-6.049552483,2014-08-01,2015-07-31,clear_cut2015
144,-53.18346081,-6.244537285,2014-08-01,2015-07-31,clear_cut2015
145,-53.43141603,-6.31088632,2014-08-01,2015-07-31,clear_cut2015
146,-53.23695389,-6.205729839,2014-08-01,2015-07-31,clear_cut2015
147,-53.79799518,-6.125311976,2015-08-01,2016-07-31,clear_cut2016
148,-53.56764096,-6.115458925,2015-08-01,2016-07-31,clear_cut2016
149,-53.71088848,-6.044494848,2014-08-01,2015-07-31,clear_cut2015
150,-53.19842342,-6.376422309,2014-08-01,2015-07-31,clear_cut2015
151,-53.47393788,-6.34063688,2015-08-01,2016-07-31,clear_cut2016
152,-53.29020995,-6.343907232,2014-08-01,2015-07-31,clear_cut2015
153,-53.65456358,-6.408958387,2015-08-01,2016-07-31,clear_cut2016
154,-53.65243708,-6.419774781,2015-08-01,2016-07-31,clear_cut2016
155,-53.39964300,-6.096800000,2014-08-01,2015-07-31,forest_degradation
156,-53.11606700,-6.143300000,2014-08-01,2015-07-31,forest_degradation
157,-53.11646600,-6.125840000,2014-08-01,2015-07-31,forest_degradation
158,-53.68148800,-6.021203000,2014-08-01,2015-07-31,forest_degradation
159,-53.67819400,-6.037613000,2014-08-01,2015-07-31,forest_degradation
160,-53.67756200,-5.845678000,2016-08-01,2017-07-31,forest_degradation
161,-53.68403600,-5.818205000,2016-08-01,2017-07-31,forest_degradation
162,-53.29442800,-6.067927000,2014-08-01,2015-07-31,forest_degradation
163,-53.42588700,-5.834786000,2015-08-01,2016-07-31,forest_degradation
164,-53.29372800,-5.940820000,2015-08-01,2016-07-31,forest_degradation
165,-53.05751400,-6.579149000,2015-08-01,2016-07-31,forest_degradation
166,-53.39943900,-6.047919000,2014-08-01,2015-07-31,forest_degradation
167,-53.39618600,-6.055644000,2014-08-01,2015-07-31,forest_degradation
