"","Cerrado","Fallow_Cotton","Forest","Pasture","Soy_Beans","Soy_Corn","Soy_Cotton","Soy_Coverage","Soy_Crotalaria","Soy_Fallow","Soy_Millet","Soy_Pasture","Soy_Sorghum","Soy_Sunflower"
"Cerrado",351,0,7,38,0,0,0,0,0,0,0,1,0,0
"Fallow_Cotton",0,46,0,0,1,4,12,0,2,0,2,0,0,5
"Forest",12,0,126,2,0,0,0,0,0,0,1,0,0,0
"Pasture",37,5,4,1047,1,16,8,15,3,0,32,9,3,2
"Soy_Beans",0,0,0,1,16,3,1,1,1,1,9,2,1,5
"Soy_Corn",0,5,0,7,8,264,40,7,11,1,67,4,21,26
"Soy_Cotton",0,14,0,6,5,33,325,4,8,0,10,7,1,4
"Soy_Coverage",0,0,0,11,4,7,1,24,14,0,25,4,4,1
"Soy_Crotalaria",0,0,0,1,0,7,0,10,14,0,14,1,2,5
"Soy_Fallow",0,0,0,0,1,0,0,1,0,78,3,0,0,2
"Soy_Millet",0,2,1,21,14,44,8,38,17,7,237,10,24,7
"Soy_Pasture",0,0,0,6,0,1,1,5,0,0,7,11,1,2
"Soy_Sorghum",0,0,0,5,1,5,0,4,3,0,8,1,2,2
"Soy_Sunflower",0,3,0,1,7,16,4,1,3,1,10,3,1,63
