id,longitude,latitude,start_date,end_date,label
1,-55.196,-15.3694,2015-09-14,2016-08-28,Soja_Alg
2,-55.0399,-15.1933,2015-09-14,2016-08-28,Pasto
3,-55.0383,-15.1954,2015-09-14,2016-08-28,Pasto
4,-55.0378,-15.1933,2015-09-14,2016-08-28,Pasto
5,-55.0367,-15.1975,2015-09-14,2016-08-28,Pasto
6,-55.0362,-15.1954,2015-09-14,2016-08-28,Pasto
7,-55.0351,-15.1996,2015-09-14,2016-08-28,Pasto
8,-55.0345,-15.1975,2015-09-14,2016-08-28,Pasto
9,-55.0329,-15.1996,2015-09-14,2016-08-28,Pasto
10,-55.2339,-15.4512,2015-09-14,2016-08-28,Soja_Milho
11,-55.2333,-15.4491,2015-09-14,2016-08-28,Soja_Milho
12,-55.0338,-15.1915,2015-09-14,2016-08-28,Pasto
13,-55.0333,-15.1894,2015-09-14,2016-08-28,Pasto
14,-55.0322,-15.1935,2015-09-14,2016-08-28,Pasto
15,-55.0317,-15.1915,2015-09-14,2016-08-28,Pasto
16,-55.0306,-15.1956,2015-09-14,2016-08-28,Pasto
17,-55.03,-15.1935,2015-09-14,2016-08-28,Pasto
18,-55.0284,-15.1956,2015-09-14,2016-08-28,Pasto
19,-55.0489,-15.2006,2015-09-14,2016-08-28,Pasto
20,-55.0473,-15.2027,2015-09-14,2016-08-28,Pasto
21,-55.0468,-15.2006,2015-09-14,2016-08-28,Pasto
22,-55.0462,-15.1985,2015-09-14,2016-08-28,Pasto
23,-55.0457,-15.2047,2015-09-14,2016-08-28,Pasto
24,-55.0452,-15.2027,2015-09-14,2016-08-28,Pasto
25,-55.0446,-15.2006,2015-09-14,2016-08-28,Pasto
26,-55.0441,-15.1985,2015-09-14,2016-08-28,Pasto
27,-55.0435,-15.1964,2015-09-14,2016-08-28,Pasto
28,-55.0441,-15.2068,2015-09-14,2016-08-28,Pasto
29,-55.0435,-15.2047,2015-09-14,2016-08-28,Pasto
30,-55.043,-15.2027,2015-09-14,2016-08-28,Pasto
31,-55.0425,-15.2006,2015-09-14,2016-08-28,Pasto
32,-55.0419,-15.1985,2015-09-14,2016-08-28,Pasto
33,-55.0425,-15.2089,2015-09-14,2016-08-28,Pasto
34,-55.0419,-15.2068,2015-09-14,2016-08-28,Pasto
35,-55.0414,-15.2047,2015-09-14,2016-08-28,Pasto
36,-55.0408,-15.2027,2015-09-14,2016-08-28,Pasto
37,-55.0403,-15.2006,2015-09-14,2016-08-28,Pasto
38,-55.0409,-15.211,2015-09-14,2016-08-28,Pasto
39,-55.0403,-15.2089,2015-09-14,2016-08-28,Pasto
40,-55.0398,-15.2068,2015-09-14,2016-08-28,Pasto
41,-55.0392,-15.2047,2015-09-14,2016-08-28,Pasto
42,-55.0387,-15.2027,2015-09-14,2016-08-28,Pasto
43,-55.0392,-15.2131,2015-09-14,2016-08-28,Pasto
44,-55.0387,-15.211,2015-09-14,2016-08-28,Pasto
45,-55.0382,-15.2089,2015-09-14,2016-08-28,Pasto
46,-55.0376,-15.2068,2015-09-14,2016-08-28,Pasto
47,-55.0371,-15.2047,2015-09-14,2016-08-28,Pasto
48,-55.0371,-15.2131,2015-09-14,2016-08-28,Pasto
49,-55.0365,-15.211,2015-09-14,2016-08-28,Pasto
50,-55.036,-15.2089,2015-09-14,2016-08-28,Pasto
51,-55.0355,-15.2068,2015-09-14,2016-08-28,Pasto
52,-55.0344,-15.211,2015-09-14,2016-08-28,Pasto
53,-55.0338,-15.2089,2015-09-14,2016-08-28,Pasto
54,-55.0152,-15.1766,2015-09-14,2016-08-28,Eucalipto
55,-55.0147,-15.1746,2015-09-14,2016-08-28,Eucalipto
56,-55.0136,-15.1787,2015-09-14,2016-08-28,Eucalipto
57,-55.013,-15.1766,2015-09-14,2016-08-28,Eucalipto
58,-55.0125,-15.1746,2015-09-14,2016-08-28,Eucalipto
59,-55.012,-15.1725,2015-09-14,2016-08-28,Eucalipto
60,-55.012,-15.1808,2015-09-14,2016-08-28,Eucalipto
61,-55.0114,-15.1787,2015-09-14,2016-08-28,Eucalipto
62,-55.0109,-15.1766,2015-09-14,2016-08-28,Eucalipto
63,-55.0103,-15.1746,2015-09-14,2016-08-28,Eucalipto
64,-55.0104,-15.1829,2015-09-14,2016-08-28,Eucalipto
65,-55.0098,-15.1808,2015-09-14,2016-08-28,Eucalipto
66,-55.0093,-15.1787,2015-09-14,2016-08-28,Eucalipto
67,-55.0087,-15.1766,2015-09-14,2016-08-28,Eucalipto
68,-55.0082,-15.1746,2015-09-14,2016-08-28,Eucalipto
69,-55.0077,-15.1808,2015-09-14,2016-08-28,Eucalipto
70,-55.0071,-15.1787,2015-09-14,2016-08-28,Eucalipto
71,-55.0066,-15.1766,2015-09-14,2016-08-28,Eucalipto
72,-55.005,-15.1787,2015-09-14,2016-08-28,Eucalipto
73,-55.0069,-15.1699,2015-09-14,2016-08-28,Cerrado
74,-55.0052,-15.172,2015-09-14,2016-08-28,Cerrado
75,-55.0176,-15.1665,2015-09-14,2016-08-28,Soja_Crotalaria
76,-55.0159,-15.1686,2015-09-14,2016-08-28,Soja_Crotalaria
77,-55.0154,-15.1665,2015-09-14,2016-08-28,Soja_Crotalaria
78,-55.0149,-15.1644,2015-09-14,2016-08-28,Soja_Crotalaria
79,-55.0138,-15.1686,2015-09-14,2016-08-28,Soja_Crotalaria
80,-55.0132,-15.1665,2015-09-14,2016-08-28,Soja_Crotalaria
81,-55.0127,-15.1644,2015-09-14,2016-08-28,Soja_Crotalaria
82,-55.0122,-15.1623,2015-09-14,2016-08-28,Soja_Crotalaria
