"id","longitude","latitude","start_date","end_date","label"
"1",-56.5484812696997,-14.1848431289814,"2006-01-01","2007-12-31","S+Milheto"
"2",-56.5638889841082,-14.1864992933497,"2006-01-01","2007-12-31","S+Milho"
"3",-56.5785851676008,-14.1881164346203,"2006-01-01","2007-12-31","S+Milheto"
"4",-56.5773492856819,-14.1738519953694,"2006-01-01","2007-12-31","S+Milho"
"5",-56.5632143522075,-14.173471320211,"2006-01-01","2007-12-31","S+Milheto"
"6",-56.54869582319,-14.1722996034593,"2006-01-01","2007-12-31","S+Milheto"
"7",-56.5276841320961,-14.1537380727655,"2006-01-01","2007-12-31","Arroz+nada"
"8",-56.508363206671,-14.1507310259367,"2006-01-01","2007-12-31","Arroz+nada"
"9",-56.5839569722739,-14.1670591230246,"2006-01-01","2007-12-31","Arroz+nada"
"10",-55.7288543695537,-12.6264904979902,"2006-01-01","2007-12-31","unknown"
"11",-55.7285439943336,-12.6176133389373,"2006-01-01","2007-12-31","unknown"
"12",-55.7342395884776,-12.6165631452417,"2006-01-01","2007-12-31","unknown"
"13",-55.7406847649507,-12.6142102329934,"2006-01-01","2007-12-31","unknown"
"14",-55.7453197074574,-12.6040860479872,"2006-01-01","2007-12-31","unknown"
"15",-55.7394705098296,-12.626832362036,"2006-01-01","2007-12-31","unknown"
"16",-55.727494629563,-12.6334788251009,"2006-01-01","2007-12-31","unknown"
"17",-55.7140931658922,-12.6307094294293,"2006-01-01","2007-12-31","unknown"
"18",-55.7575085322923,-12.5679217303729,"2006-01-01","2007-12-31","unknown"
"19",-55.6506762604824,-11.8617465309913,"2006-01-01","2007-12-31","S+Milheto"
"20",-55.6379330525932,-11.8552982943235,"2006-01-01","2007-12-31","S+Milheto"
"21",-55.6359871238263,-11.8703083356846,"2006-01-01","2007-12-31","S+Milheto"
"22",-55.627045413521,-11.8499517334203,"2006-01-01","2007-12-31","S+Milheto"
"23",-55.625091488582,-11.8657403882852,"2006-01-01","2007-12-31","S+Milheto"
"24",-55.6212416399358,-11.8411209320255,"2006-01-01","2007-12-31","S+Milheto"
"25",-55.6193907718547,-11.848962389347,"2006-01-01","2007-12-31","SA"
"26",-55.6176904656613,-11.8604006844017,"2006-01-01","2007-12-31","SA"
"27",-55.6081806887929,-11.8443956990528,"2006-01-01","2007-12-31","SA"
"28",-55.6065062798913,-11.8586208603867,"2006-01-01","2007-12-31","SA"
"29",-55.5925673357301,-11.8417369036335,"2006-01-01","2007-12-31","SA"
"30",-55.5913228853644,-11.8547643640712,"2006-01-01","2007-12-31","SA"
"31",-55.5900659397007,-11.8650068334361,"2006-01-01","2007-12-31","SA"
"32",-55.5815620812944,-11.83594142209,"2006-01-01","2007-12-31","SA"
"33",-55.5802338761112,-11.8437860754095,"2006-01-01","2007-12-31","SA"
"34",-55.5792785949711,-11.8528312064014,"2006-01-01","2007-12-31","SA"
"35",-55.578726497203,-11.8618810039399,"2006-01-01","2007-12-31","SA"
"36",-55.5825608791847,-11.8723107616393,"2006-01-01","2007-12-31","SA"
"37",-55.5904881467932,-11.8781837216352,"2006-01-01","2007-12-31","SA"
"38",-55.5899914266251,-11.8863720659576,"2006-01-01","2007-12-31","SA"
"39",-55.6004000656299,-11.8868240612629,"2006-01-01","2007-12-31","SA"
"40",-55.6082139156262,-11.891631180559,"2006-01-01","2007-12-31","SA"
"41",-55.6141163613279,-11.8783299972905,"2006-01-01","2007-12-31","SA"
"42",-55.6353857931624,-11.8888213150499,"2006-01-01","2007-12-31","S+Milho"
"43",-55.6518679504976,-11.8782099898037,"2006-01-01","2007-12-31","S+Milho"
"44",-55.6446176269149,-11.8921213190316,"2006-01-01","2007-12-31","S+Milho"
"45",-55.6434189943242,-11.8967549964098,"2006-01-01","2007-12-31","S+Milho"
"46",-55.6245868894838,-11.8978337482483,"2006-01-01","2007-12-31","S+Milho"
"47",-55.6154491286291,-11.8948643094649,"2006-01-01","2007-12-31","S+Milho"
"48",-55.6130898525971,-11.9101281340973,"2006-01-01","2007-12-31","S+Milho"
"49",-55.6050943448403,-11.9059069027782,"2006-01-01","2007-12-31","SA"
"50",-55.5922547023109,-11.8987271974698,"2006-01-01","2007-12-31","S+Milho"
"51",-55.5854423777871,-11.9098630865813,"2006-01-01","2007-12-31","S+Milheto"
"52",-55.5771043037894,-11.9023845087172,"2006-01-01","2007-12-31","S+Milheto"
"53",-55.5778435654414,-11.8962628853785,"2006-01-01","2007-12-31","S+Milheto"
"54",-55.5966334305552,-11.9198867032686,"2006-01-01","2007-12-31","S+Milheto"
"55",-55.6037386393147,-11.9333042164524,"2006-01-01","2007-12-31","S+Milheto"
"56",-55.6087427659492,-11.9277520245401,"2006-01-01","2007-12-31","S+Sorgho"
"57",-55.6116788653363,-11.9218622865332,"2006-01-01","2007-12-31","S+Milheto"
"58",-55.6196218380742,-11.9144012627885,"2006-01-01","2007-12-31","S+Sorgho"
"59",-55.6290918298152,-11.9193550191182,"2006-01-01","2007-12-31","S+Milho"
"60",-55.6290918298152,-11.9193550191182,"2006-01-01","2007-12-31","S+Milho"
"61",-55.625244332203,-11.9052056179594,"2006-01-01","2007-12-31","S+Milho"
"62",-55.625244332203,-11.9052056179594,"2006-01-01","2007-12-31","S+Milho"
"63",-55.6224131462128,-11.9317749609092,"2006-01-01","2007-12-31","S+Sorgho"
"64",-55.6224131462128,-11.9317749609092,"2006-01-01","2007-12-31","S+Sorgho"
"65",-55.6317958551526,-11.9056448186847,"2006-01-01","2007-12-31","S+Sorgho"
"66",-55.6317958551526,-11.9056448186847,"2006-01-01","2007-12-31","S+Sorgho"
"67",-55.6384854130747,-11.9075379716517,"2006-01-01","2007-12-31","S+Milho"
"68",-55.6451093103373,-11.9086480110401,"2006-01-01","2007-12-31","S+Milho"
"69",-55.6493850388494,-11.9231887455246,"2006-01-01","2007-12-31","S+Sorgho"
"70",-55.6351755485201,-11.9384928722314,"2006-01-01","2007-12-31","S+Milho"
"71",-55.6340888448801,-11.9439203953439,"2006-01-01","2007-12-31","S+Milho"
"72",-55.6227110712464,-11.9510679905337,"2006-01-01","2007-12-31","S+Milho"
"73",-55.6177047723956,-11.9568672805025,"2006-01-01","2007-12-31","S+Milho"
"74",-55.6090014969633,-11.9446523582133,"2006-01-01","2007-12-31","S+Milheto"
"75",-55.6068775797836,-11.9528799995875,"2006-01-01","2007-12-31","S+Milheto"
"76",-55.582091293642,-11.8908812055839,"2006-01-01","2007-12-31","S+Milheto"
"77",-55.5758623332138,-11.8805531996739,"2006-01-01","2007-12-31","S+Milheto"
"78",-55.5745849670939,-11.8704564168138,"2006-01-01","2007-12-31","S+Milheto"
"79",-55.637503484534,-11.9241464001338,"2006-01-01","2007-12-31","S+Milho"
"80",-55.6403431603437,-11.9317168206016,"2006-01-01","2007-12-31","S+Milho"
"81",-56.431529427709,-13.7240822607148,"2006-01-01","2007-12-31","S+?"
"82",-56.4415884261507,-13.7249463259551,"2006-01-01","2007-12-31","S+?"
"83",-56.4289307714778,-13.7321800977357,"2006-01-01","2007-12-31","unknown"
"84",-56.448514634862,-13.6278652305037,"2006-01-01","2007-12-31","unknown"
"85",-56.454714133605,-13.6340153364693,"2006-01-01","2007-12-31","unknown"
"86",-56.4459601701209,-13.6449518291847,"2006-01-01","2007-12-31","unknown"
"87",-56.4381807909202,-13.6534529756226,"2006-01-01","2007-12-31","S+?"
"88",-56.4334270434112,-13.66437427213,"2006-01-01","2007-12-31","S+?"
"89",-56.4434205757005,-13.6792166536559,"2006-01-01","2007-12-31","S+?"
"90",-56.4367067138309,-13.7137480391003,"2006-01-01","2007-12-31","S+?"
"91",-56.466239016065,-13.6277460639033,"2006-01-01","2007-12-31","S+?"
"92",-56.4637236090183,-13.6355762555289,"2006-01-01","2007-12-31","S+?"
"93",-56.4607956957958,-13.6485131008625,"2006-01-01","2007-12-31","S+?"
"94",-56.456021826562,-13.6577142244263,"2006-01-01","2007-12-31","S+?"
"95",-56.4527014830554,-13.6690957242434,"2006-01-01","2007-12-31","S+?"
"96",-56.4523853821392,-13.6806974593458,"2006-01-01","2007-12-31","S+Milheto"
"97",-56.4456735415031,-13.7151781831426,"2006-01-01","2007-12-31","S+?"
"98",-56.4740227982332,-13.6267381962851,"2006-01-01","2007-12-31","S+?"
"99",-56.4734435258495,-13.6395777851487,"2006-01-01","2007-12-31","S+?"
"100",-56.4703909327284,-13.6488651181295,"2006-01-01","2007-12-31","S+?"
"101",-56.4688113935286,-13.6606130321194,"2006-01-01","2007-12-31","S+brac"
"102",-56.4663495082733,-13.6719097455757,"2006-01-01","2007-12-31","S+Milho"
"103",-56.4639672935533,-13.6830792258642,"2006-01-01","2007-12-31","S+Milho"
"104",-56.4616637718985,-13.6944628147265,"2006-01-01","2007-12-31","S+Milho"
"105",-56.4593770852069,-13.7058563540956,"2006-01-01","2007-12-31","S+Milho"
"106",-56.4571808488705,-13.7171824087985,"2006-01-01","2007-12-31","S+Milho"
"107",-56.4859082849333,-13.6308530153738,"2006-01-01","2007-12-31","S+?"
"108",-56.4841460812506,-13.6404732002587,"2006-01-01","2007-12-31","S+?"
"109",-56.4812046084622,-13.6507963800646,"2006-01-01","2007-12-31","S+?"
"110",-56.4791554810741,-13.66362311427,"2006-01-01","2007-12-31","S+brac"
"111",-56.4772577886439,-13.6740076529466,"2006-01-01","2007-12-31","S+Milho"
"112",-56.4749733900631,-13.6853005515478,"2006-01-01","2007-12-31","S+?"
"113",-56.4724504262123,-13.697005896349,"2006-01-01","2007-12-31","unknown"
"114",-56.4700883305801,-13.7082130373618,"2006-01-01","2007-12-31","S+Milho"
"115",-56.4680970516442,-13.7194256456064,"2006-01-01","2007-12-31","S+Milho"
"116",-56.4656279904703,-13.7284880345432,"2006-01-01","2007-12-31","unknown"
"117",-56.490691034447,-13.6471378474308,"2006-01-01","2007-12-31","unknown"
"118",-56.4843897404982,-13.6756173969642,"2006-01-01","2007-12-31","unknown"
"119",-56.4867913585219,-13.6898800887828,"2006-01-01","2007-12-31","S+brac"
"120",-56.4836535107202,-13.6989919199573,"2006-01-01","2007-12-31","S+brac"
"121",-56.4813839256139,-13.7103752932734,"2006-01-01","2007-12-31","S+brac"
"122",-56.4790595376574,-13.721743772222,"2006-01-01","2007-12-31","S+Milho"
"123",-56.4775166931431,-13.7323836996591,"2006-01-01","2007-12-31","unknown"
"124",-56.4743284267888,-13.740779230343,"2006-01-01","2007-12-31","S+?"
"125",-56.4974334379328,-13.6568652335222,"2006-01-01","2007-12-31","pasto"
"126",-56.4931415838118,-13.6637514757202,"2006-01-01","2007-12-31","unknown"
"127",-56.4953544794539,-13.6918085338012,"2006-01-01","2007-12-31","unknown"
"128",-56.4920100743833,-13.6999402522982,"2006-01-01","2007-12-31","S+Milho"
"129",-56.4890406239662,-13.7122906953795,"2006-01-01","2007-12-31","S+Milho"
"130",-56.4908029709803,-13.7242160710501,"2006-01-01","2007-12-31","S+Milho"
"131",-56.4884414760672,-13.7354923803075,"2006-01-01","2007-12-31","S+?"
