id,longitude,latitude,start_date,end_date,label
1,-53.0419,-18.1325,2000-09-01,2001-08-31,Cerrado_Campo
2,-53.0419,-18.1325,2004-09-01,2005-08-31,Cerrado_Campo
3,-53.0419,-18.1325,2008-09-01,2009-08-31,Cerrado_Campo
4,-53.0419,-18.1325,2012-09-01,2013-08-31,Cerrado_Campo
5,-53.0209,-18.0594,2000-09-01,2001-08-31,Cerrado_Campo
6,-53.0209,-18.0594,2004-09-01,2005-08-31,Cerrado_Campo
7,-53.0209,-18.0594,2008-09-01,2009-08-31,Cerrado_Campo
8,-53.0209,-18.0594,2012-09-01,2013-08-31,Cerrado_Campo
9,-52.9914,-18.015,2000-09-01,2001-08-31,Cerrado_Campo
10,-52.9914,-18.015,2004-09-01,2005-08-31,Cerrado_Campo
11,-52.9914,-18.015,2008-09-01,2009-08-31,Cerrado_Campo
12,-52.9914,-18.015,2012-09-01,2013-08-31,Cerrado_Campo
13,-52.9502,-18.1235,2000-09-01,2001-08-31,Cerrado_Campo
14,-52.9502,-18.1235,2004-09-01,2005-08-31,Cerrado_Campo
15,-52.9502,-18.1235,2008-09-01,2009-08-31,Cerrado_Campo
16,-52.9502,-18.1235,2012-09-01,2013-08-31,Cerrado_Campo
17,-52.948,-18.1669,2000-09-01,2001-08-31,Cerrado_Campo
18,-52.948,-18.1669,2004-09-01,2005-08-31,Cerrado_Campo
19,-52.948,-18.1669,2008-09-01,2009-08-31,Cerrado_Campo
20,-52.948,-18.1669,2012-09-01,2013-08-31,Cerrado_Campo
21,-52.9203,-17.9464,2000-09-01,2001-08-31,Cerrado_Campo
22,-52.9203,-17.9464,2004-09-01,2005-08-31,Cerrado_Campo
23,-52.9203,-17.9464,2008-09-01,2009-08-31,Cerrado_Campo
24,-52.9203,-17.9464,2012-09-01,2013-08-31,Cerrado_Campo
25,-52.9143,-18.0744,2000-09-01,2001-08-31,Cerrado_Campo
26,-52.9143,-18.0744,2004-09-01,2005-08-31,Cerrado_Campo
27,-52.9143,-18.0744,2008-09-01,2009-08-31,Cerrado_Campo
28,-52.9143,-18.0744,2012-09-01,2013-08-31,Cerrado_Campo
29,-52.8834,-18.0684,2000-09-01,2001-08-31,Cerrado_Campo
30,-52.8834,-18.0684,2004-09-01,2005-08-31,Cerrado_Campo
31,-52.8834,-18.0684,2008-09-01,2009-08-31,Cerrado_Campo
32,-52.8834,-18.0684,2012-09-01,2013-08-31,Cerrado_Campo
33,-52.8645,-18.146,2000-09-01,2001-08-31,Cerrado_Campo
34,-52.8645,-18.146,2004-09-01,2005-08-31,Cerrado_Campo
35,-52.8645,-18.146,2008-09-01,2009-08-31,Cerrado_Campo
36,-52.8645,-18.146,2012-09-01,2013-08-31,Cerrado_Campo
37,-52.8542,-18.1009,2000-09-01,2001-08-31,Cerrado_Campo
38,-52.8542,-18.1009,2004-09-01,2005-08-31,Cerrado_Campo
39,-52.8542,-18.1009,2008-09-01,2009-08-31,Cerrado_Campo
40,-52.8542,-18.1009,2012-09-01,2013-08-31,Cerrado_Campo
41,-52.8417,-18.2167,2000-09-01,2001-08-31,Cerrado_Campo
42,-52.8417,-18.2167,2004-09-01,2005-08-31,Cerrado_Campo
43,-52.8417,-18.2167,2008-09-01,2009-08-31,Cerrado_Campo
44,-52.8417,-18.2167,2012-09-01,2013-08-31,Cerrado_Campo
45,-52.8033,-18.2049,2000-09-01,2001-08-31,Cerrado_Campo
46,-52.8033,-18.2049,2004-09-01,2005-08-31,Cerrado_Campo
47,-52.8033,-18.2049,2008-09-01,2009-08-31,Cerrado_Campo
48,-52.8033,-18.2049,2012-09-01,2013-08-31,Cerrado_Campo
49,-47.0516,-10.7241,2000-09-01,2001-08-31,Cerrado_Campo
50,-47.0516,-10.7241,2004-09-01,2005-08-31,Cerrado_Campo
51,-47.0516,-10.7241,2008-09-01,2009-08-31,Cerrado_Campo
52,-47.0516,-10.7241,2012-09-01,2013-08-31,Cerrado_Campo
53,-46.9839,-11.1138,2000-09-01,2001-08-31,Cerrado_Campo
54,-46.9828,-10.3844,2000-09-01,2001-08-31,Cerrado_Campo
55,-46.9828,-10.3844,2004-09-01,2005-08-31,Cerrado_Campo
56,-46.9828,-10.3844,2008-09-01,2009-08-31,Cerrado_Campo
57,-46.9828,-10.3844,2012-09-01,2013-08-31,Cerrado_Campo
58,-46.9805,-11.0367,2000-09-01,2001-08-31,Cerrado_Campo
59,-46.9653,-10.9739,2000-09-01,2001-08-31,Cerrado_Campo
60,-46.9653,-10.9739,2004-09-01,2005-08-31,Cerrado_Campo
61,-46.9653,-10.9739,2008-09-01,2009-08-31,Cerrado_Campo
62,-46.9653,-10.9739,2012-09-01,2013-08-31,Cerrado_Campo
63,-46.9599,-10.9795,2000-09-01,2001-08-31,Cerrado_Campo
64,-46.9599,-10.9795,2004-09-01,2005-08-31,Cerrado_Campo
65,-46.9599,-10.9795,2008-09-01,2009-08-31,Cerrado_Campo
66,-46.9599,-10.9795,2012-09-01,2013-08-31,Cerrado_Campo
67,-46.9478,-11.2497,2000-09-01,2001-08-31,Cerrado_Campo
68,-46.9478,-11.2497,2004-09-01,2005-08-31,Cerrado_Campo
69,-46.9478,-11.2497,2008-09-01,2009-08-31,Cerrado_Campo
70,-46.9478,-11.2497,2012-09-01,2013-08-31,Cerrado_Campo
71,-46.9443,-10.8733,2000-09-01,2001-08-31,Cerrado_Campo
72,-46.9443,-10.8733,2004-09-01,2005-08-31,Cerrado_Campo
73,-46.9443,-10.8733,2008-09-01,2009-08-31,Cerrado_Campo
74,-46.9443,-10.8733,2012-09-01,2013-08-31,Cerrado_Campo
75,-46.9281,-11.1953,2000-09-01,2001-08-31,Cerrado_Campo
76,-46.9281,-11.1953,2004-09-01,2005-08-31,Cerrado_Campo
77,-46.9281,-11.1953,2008-09-01,2009-08-31,Cerrado_Campo
78,-46.9281,-11.1953,2012-09-01,2013-08-31,Cerrado_Campo
79,-46.8933,-10.0399,2000-09-01,2001-08-31,Cerrado_Campo
80,-46.8933,-10.0399,2004-09-01,2005-08-31,Cerrado_Campo
81,-46.8933,-10.0399,2008-09-01,2009-08-31,Cerrado_Campo
82,-46.8933,-10.0399,2012-09-01,2013-08-31,Cerrado_Campo
83,-46.8011,-10.3065,2000-09-01,2001-08-31,Cerrado_Rupestre
84,-46.8011,-10.3065,2004-09-01,2005-08-31,Cerrado_Rupestre
85,-46.8011,-10.3065,2008-09-01,2009-08-31,Cerrado_Rupestre
86,-46.8011,-10.3065,2012-09-01,2013-08-31,Cerrado_Rupestre
87,-46.7802,-10.3044,2000-09-01,2001-08-31,Cerrado_Rupestre
88,-46.7802,-10.3044,2004-09-01,2005-08-31,Cerrado_Rupestre
89,-46.7802,-10.3044,2008-09-01,2009-08-31,Cerrado_Rupestre
90,-46.7802,-10.3044,2012-09-01,2013-08-31,Cerrado_Rupestre
91,-46.7737,-10.308,2000-09-01,2001-08-31,Cerrado_Rupestre
92,-46.7737,-10.308,2004-09-01,2005-08-31,Cerrado_Rupestre
93,-46.7737,-10.308,2008-09-01,2009-08-31,Cerrado_Rupestre
94,-46.7737,-10.308,2012-09-01,2013-08-31,Cerrado_Rupestre
