id,longitude,latitude,start_date,end_date,label
1,-54.2313,-14.0482,2004-09-13,2005-08-29,Cerrado
2,-54.229,-14.0632,2008-09-13,2009-08-29,Cerrado
3,-54.5421,-14.3098,2012-09-13,2013-08-29,Cerrado
4,-52.6234,-15.3137,2009-09-14,2010-08-29,Cerrado
5,-52.5824,-15.3168,2007-09-14,2008-08-28,Cerrado
6,-56.7898,-11.4209,2005-09-14,2006-08-29,Pasture
7,-58.7672,-11.3732,2014-09-14,2015-08-29,Pasture
8,-58.7614,-11.3723,2000-09-13,2001-08-29,Pasture
9,-56.023,-14.1607,2010-09-14,2011-08-29,Pasture
10,-56.0231,-14.1694,2000-09-13,2001-08-29,Pasture
