ID	LAT	LON	startDate	endDate	CLASS_TYPE
17	-2.11943342	-49.98678442	2005-09-01	2006-08-31	Primary Forest
17	-2.11943342	-49.98678442	2006-09-01	2007-08-31	Primary Forest
17	-2.11943342	-49.98678442	2007-09-01	2008-08-31	Primary Forest
17	-2.11943342	-49.98678442	2008-09-01	2009-08-31	Primary Forest
25	-1.11986477	-51.05064727	2000-09-01	2001-08-31	Primary Forest
25	-1.11986477	-51.05064727	2001-09-01	2002-08-31	Primary Forest
25	-1.11986477	-51.05064727	2002-09-01	2003-08-31	Primary Forest
25	-1.11986477	-51.05064727	2003-09-01	2004-08-31	Primary Forest
25	-1.11986477	-51.05064727	2004-09-01	2005-08-31	Primary Forest
25	-1.11986477	-51.05064727	2005-09-01	2006-08-31	Primary Forest
25	-1.11986477	-51.05064727	2006-09-01	2007-08-31	Primary Forest
25	-1.11986477	-51.05064727	2007-09-01	2008-08-31	Primary Forest
25	-1.11986477	-51.05064727	2008-09-01	2009-08-31	Primary Forest
25	-1.11986477	-51.05064727	2009-09-01	2010-08-31	Primary Forest
25	-1.11986477	-51.05064727	2010-09-01	2011-08-31	Primary Forest
25	-1.11986477	-51.05064727	2012-09-01	2013-08-31	Primary Forest
25	-1.11986477	-51.05064727	2013-09-01	2014-08-31	Primary Forest
25	-1.11986477	-51.05064727	2014-09-01	2015-08-31	Primary Forest
25	-1.11986477	-51.05064727	2015-09-01	2016-12-30	Primary Forest
30	-0.85427061	-51.08797403	2000-09-01	2001-08-31	Primary Forest
30	-0.85427061	-51.08797403	2001-09-01	2002-08-31	Primary Forest
30	-0.85427061	-51.08797403	2002-09-01	2003-08-31	Primary Forest
30	-0.85427061	-51.08797403	2003-09-01	2004-08-31	Primary Forest
30	-0.85427061	-51.08797403	2004-09-01	2005-08-31	Primary Forest
30	-0.85427061	-51.08797403	2005-09-01	2006-08-31	Primary Forest
30	-0.85427061	-51.08797403	2006-09-01	2007-08-31	Primary Forest
30	-0.85427061	-51.08797403	2007-09-01	2008-08-31	Primary Forest
30	-0.85427061	-51.08797403	2008-09-01	2009-08-31	Primary Forest
30	-0.85427061	-51.08797403	2009-09-01	2010-08-31	Primary Forest
30	-0.85427061	-51.08797403	2010-09-01	2011-08-31	Primary Forest
30	-0.85427061	-51.08797403	2011-09-01	2012-08-31	Primary Forest
30	-0.85427061	-51.08797403	2012-09-01	2013-08-31	Primary Forest
30	-0.85427061	-51.08797403	2013-09-01	2014-08-31	Primary Forest
30	-0.85427061	-51.08797403	2014-09-01	2015-08-31	Primary Forest
30	-0.85427061	-51.08797403	2015-09-01	2016-08-31	Primary Forest
38	-0.50723758	-50.92080381	2005-09-01	2006-08-31	Primary Forest
38	-0.50723758	-50.92080381	2006-09-01	2007-08-31	Primary Forest
38	-0.50723758	-50.92080381	2007-09-01	2008-08-31	Primary Forest
38	-0.50723758	-50.92080381	2008-09-01	2009-08-31	Primary Forest
38	-0.50723758	-50.92080381	2009-09-01	2010-08-31	Primary Forest
38	-0.50723758	-50.92080381	2010-09-01	2011-08-31	Primary Forest
38	-0.50723758	-50.92080381	2011-09-01	2012-08-31	Primary Forest
38	-0.50723758	-50.92080381	2012-09-01	2013-08-31	Primary Forest
38	-0.50723758	-50.92080381	2013-09-01	2014-08-31	Primary Forest
38	-0.50723758	-50.92080381	2014-09-01	2015-08-31	Primary Forest
38	-0.50723758	-50.92080381	2015-09-01	2016-08-31	Primary Forest
47	-1.3412472	-51.0172632	2005-09-01	2006-08-31	Primary Forest
47	-1.3412472	-51.0172632	2006-09-01	2007-08-31	Primary Forest
47	-1.3412472	-51.0172632	2007-09-01	2008-08-31	Primary Forest
47	-1.3412472	-51.0172632	2008-09-01	2009-08-31	Primary Forest
47	-1.3412472	-51.0172632	2009-09-01	2010-08-31	Primary Forest
47	-1.3412472	-51.0172632	2010-09-01	2011-08-31	Primary Forest
47	-1.3412472	-51.0172632	2011-09-01	2012-08-31	Primary Forest
47	-1.3412472	-51.0172632	2012-09-01	2013-08-31	Primary Forest
47	-1.3412472	-51.0172632	2013-09-01	2014-08-31	Primary Forest
47	-1.3412472	-51.0172632	2014-09-01	2015-08-31	Primary Forest
50	-7.97543643	-64.11919086	2000-09-01	2001-08-31	Primary Forest
50	-7.97543643	-64.11919086	2001-09-01	2002-08-31	Primary Forest
50	-7.97543643	-64.11919086	2002-09-01	2003-08-31	Primary Forest
50	-7.97543643	-64.11919086	2003-09-01	2004-08-31	Primary Forest
50	-7.97543643	-64.11919086	2004-09-01	2005-08-31	Primary Forest
50	-7.97543643	-64.11919086	2005-09-01	2006-08-31	Primary Forest
50	-7.97543643	-64.11919086	2006-09-01	2007-08-31	Primary Forest
50	-7.97543643	-64.11919086	2007-09-01	2008-08-31	Primary Forest
50	-7.97543643	-64.11919086	2008-09-01	2009-08-31	Primary Forest
50	-7.97543643	-64.11919086	2009-09-01	2010-08-31	Primary Forest
50	-7.97543643	-64.11919086	2010-09-01	2011-08-31	Primary Forest
50	-7.97543643	-64.11919086	2011-09-01	2012-08-31	Primary Forest
50	-7.97543643	-64.11919086	2012-09-01	2013-08-31	Primary Forest
50	-7.97543643	-64.11919086	2013-09-01	2014-08-31	Primary Forest
50	-7.97543643	-64.11919086	2014-09-01	2015-08-31	Primary Forest
50	-7.97543643	-64.11919086	2015-09-01	2016-08-31	Primary Forest
61	-8.31178944	-64.02084211	2000-09-01	2001-08-31	Primary Forest
61	-8.31178944	-64.02084211	2001-09-01	2002-08-31	Primary Forest
61	-8.31178944	-64.02084211	2002-09-01	2003-08-31	Primary Forest
61	-8.31178944	-64.02084211	2003-09-01	2004-08-31	Primary Forest
61	-8.31178944	-64.02084211	2004-09-01	2005-08-31	Primary Forest
70	-6.3974481	-64.5827894	2005-09-01	2006-08-31	Primary Forest
70	-6.3974481	-64.5827894	2006-09-01	2007-08-31	Primary Forest
70	-6.3974481	-64.5827894	2007-09-01	2008-08-31	Primary Forest
70	-6.3974481	-64.5827894	2008-09-01	2009-08-31	Primary Forest
70	-6.3974481	-64.5827894	2009-09-01	2010-08-31	Primary Forest
70	-6.3974481	-64.5827894	2010-09-01	2011-08-31	Primary Forest
70	-6.3974481	-64.5827894	2011-09-01	2012-08-31	Primary Forest
70	-6.3974481	-64.5827894	2012-09-01	2013-08-31	Primary Forest
76	-5.53172573	-64.83233955	2000-09-01	2001-08-31	Primary Forest
76	-5.53172573	-64.83233955	2001-09-01	2002-08-31	Primary Forest
76	-5.53172573	-64.83233955	2002-09-01	2003-08-31	Primary Forest
