id,longitude,latitude,start_date,end_date,label
1,-54.7208,-2.6994,2015-08-01,2016-07-31,Soja-comercial,
2,-54.7067,-2.6977,2015-08-01,2016-07-31,Soja-comercial,
3,-54.6952,-2.6795,2015-08-01,2016-07-31,Soja-comercial,
4,-54.6922,-2.6564,2015-08-01,2016-07-31,Soja-comercial,
5,-54.6831,-2.6648,2015-08-01,2016-07-31,Soja-comercial,
6,-54.6788,-2.6806,2015-08-01,2016-07-31,Soja-comercial,
7,-54.5617,-2.6235,2015-08-01,2016-07-31,Soja-comercial,
8,-54.6389,-2.6300,2015-08-01,2016-07-31,floresta,
9,-54.6965,-2.6679,2015-08-01,2016-07-31,floresta,
10,-54.6963,-2.6722,2015-08-01,2016-07-31,floresta,
11,-54.9133,-2.7706,2015-08-01,2016-07-31,floresta,
12,-54.9130,-2.7749,2015-08-01,2016-07-31,floresta,
13,-54.9246,-2.7836,2015-08-01,2016-07-31,floresta,
15,-54.6894,-2.8846,2015-08-01,2016-07-31,floresta,
16,-55.1289,-2.8754,2015-08-01,2016-07-31,agua-clara,
17,-55.1013,-2.7891,2015-08-01,2016-07-31,agua-clara,
18,-55.2190,-3.1923,2015-08-01,2016-07-31,agua-clara,
19,-55.0601,-2.1586,2015-08-01,2016-07-31,agua-branca,
20,-55.3952,-2.0433,2015-08-01,2016-07-31,agua-branca,
21,-55.1109,-2.0125,2015-08-01,2016-07-31,agua-branca,
22,-54.7213,-2.7356,2015-08-01,2016-07-31,pasto,
23,-54.7016,-2.7252,2015-08-01,2016-07-31,pasto,
24,-54.7138,-2.7244,2015-08-01,2016-07-31,pasto,
25,-54.6716,-2.6755,2015-08-01,2016-07-31,pasto,
26,-54.6693,-2.6834,2015-08-01,2016-07-31,pasto,
27,-54.7285,-2.6207,2015-08-01,2016-07-31,area-urbana,
28,-54.7085,-2.4562,2015-08-01,2016-07-31,area-urbana,
29,-54.7493,-2.4529,2015-08-01,2016-07-31,area-urbana,
30,-54.7182,-2.4214,2015-08-01,2016-07-31,area-urbana,
