id,longitude,latitude,start_date,end_date,label
1,-53.41151061,-6.525220837,2014-08-01,2015-07-31,deforestation2014
2,-53.44656619,-6.505978403,2014-08-01,2015-07-31,deforestation2014
3,-53.58145798,-6.106224478,2014-08-01,2015-07-31,deforestation2014
4,-53.93533631,-6.228306996,2014-08-01,2015-07-31,deforestation2014
5,-52.80605667,-6.294385762,2014-08-01,2015-07-31,deforestation2014
6,-53.50995632,-6.171897832,2014-08-01,2015-07-31,deforestation2014
7,-53.69993258,-6.068552994,2014-08-01,2015-07-31,deforestation2014
8,-53.69461872,-6.081657804,2014-08-01,2015-07-31,deforestation2014
9,-52.95670812,-6.353939603,2014-08-01,2015-07-31,deforestation2014
10,-53.65862176,-6.085899727,2014-08-01,2015-07-31,deforestation2014
11,-53.67294167,-6.097024651,2014-08-01,2015-07-31,deforestation2014
12,-53.55381338,-6.19452454,2014-08-01,2015-07-31,deforestation2014
13,-53.52871727,-6.12750061,2014-08-01,2015-07-31,deforestation2014
14,-53.68385109,-6.063079002,2014-08-01,2015-07-31,deforestation2014
15,-53.53619991,-6.120660266,2014-08-01,2015-07-31,deforestation2014
16,-53.69449156,-6.077091585,2014-08-01,2015-07-31,deforestation2014
17,-53.71411522,-6.097165784,2014-08-01,2015-07-31,deforestation2014
18,-53.52205725,-6.146996976,2014-08-01,2015-07-31,deforestation2014
19,-53.671267,-6.0611652,2014-08-01,2015-07-31,deforestation2014
20,-52.96393844,-6.270137137,2014-08-01,2015-07-31,deforestation2014
