id,longitude,latitude,start_date,end_date,label
1,-53.41151061,-6.525220837,2014-08-01,2015-07-31,Deforestation_2014
2,-53.44656619,-6.505978403,2014-08-01,2015-07-31,Deforestation_2014
3,-53.58145798,-6.106224478,2014-08-01,2015-07-31,Deforestation_2014
4,-53.93533631,-6.228306996,2014-08-01,2015-07-31,Deforestation_2014
5,-52.80605667,-6.294385762,2014-08-01,2015-07-31,Deforestation_2014
6,-53.50995632,-6.171897832,2014-08-01,2015-07-31,Deforestation_2014
7,-53.69993258,-6.068552994,2014-08-01,2015-07-31,Deforestation_2014
8,-53.69461872,-6.081657804,2014-08-01,2015-07-31,Deforestation_2014
9,-52.95670812,-6.353939603,2014-08-01,2015-07-31,Deforestation_2014
10,-53.65862176,-6.085899727,2014-08-01,2015-07-31,Deforestation_2014
11,-53.67294167,-6.097024651,2014-08-01,2015-07-31,Deforestation_2014
12,-53.55381338,-6.19452454,2014-08-01,2015-07-31,Deforestation_2014
13,-53.52871727,-6.12750061,2014-08-01,2015-07-31,Deforestation_2014
14,-53.68385109,-6.063079002,2014-08-01,2015-07-31,Deforestation_2014
15,-53.53619991,-6.120660266,2014-08-01,2015-07-31,Deforestation_2014
16,-53.69449156,-6.077091585,2014-08-01,2015-07-31,Deforestation_2014
17,-53.71411522,-6.097165784,2014-08-01,2015-07-31,Deforestation_2014
18,-53.52205725,-6.146996976,2014-08-01,2015-07-31,Deforestation_2014
19,-53.671267,-6.0611652,2014-08-01,2015-07-31,Deforestation_2014
20,-52.96393844,-6.270137137,2014-08-01,2015-07-31,Deforestation_2014
21,-53.68086707,-6.020969252,2014-08-01,2015-07-31,Deforestation_2014
22,-53.7210591,-6.015912138,2014-08-01,2015-07-31,Deforestation_2014
23,-53.54274234,-6.126880565,2014-08-01,2015-07-31,Deforestation_2014
24,-53.69163516,-6.137500348,2014-08-01,2015-07-31,Deforestation_2014
25,-53.70573293,-6.140339953,2014-08-01,2015-07-31,Deforestation_2014
26,-53.537088,-6.202705796,2014-08-01,2015-07-31,Deforestation_2014
27,-52.9535598,-6.262990703,2014-08-01,2015-07-31,Deforestation_2014
28,-52.9114507,-6.186257735,2014-08-01,2015-07-31,Deforestation_2014
29,-53.12809762,-6.235809748,2014-08-01,2015-07-31,Deforestation_2014
30,-53.36114428,-6.138735761,2014-08-01,2015-07-31,Deforestation_2014
31,-53.42137859,-6.20964924,2014-08-01,2015-07-31,Deforestation_2014
32,-53.2715842,-6.202929574,2014-08-01,2015-07-31,Deforestation_2014
33,-53.917382,-6.240733523,2014-08-01,2015-07-31,Deforestation_2014
