id,longitude,latitude,start_date,end_date,label
1,-47.0516,-10.7241,2016-09-01,2017-08-31,Cerrado_campo
2,-47.0516,-10.7241,2015-09-01,2016-08-31,Cerrado_campo
3,-47.0516,-10.7241,2014-09-01,2015-08-31,Cerrado_campo
4,-47.0516,-10.7241,2013-09-01,2014-08-31,Cerrado_campo
5,-47.0516,-10.7241,2012-09-01,2013-08-31,Cerrado_campo
6,-47.0516,-10.7241,2011-09-01,2012-08-31,Cerrado_campo
7,-47.0516,-10.7241,2010-09-01,2011-08-31,Cerrado_campo
8,-47.0516,-10.7241,2009-09-01,2010-08-31,Cerrado_campo
9,-47.0516,-10.7241,2008-09-01,2009-08-31,Cerrado_campo
10,-47.0516,-10.7241,2007-09-01,2008-08-31,Cerrado_campo
11,-47.0516,-10.7241,2006-09-01,2007-08-31,Cerrado_campo
12,-47.0516,-10.7241,2005-09-01,2006-08-31,Cerrado_campo
13,-47.0516,-10.7241,2004-09-01,2005-08-31,Cerrado_campo
14,-47.0516,-10.7241,2003-09-01,2004-08-31,Cerrado_campo
15,-47.0516,-10.7241,2002-09-01,2003-08-31,Cerrado_campo
16,-47.0516,-10.7241,2001-09-01,2002-08-31,Cerrado_campo
17,-47.0516,-10.7241,2000-09-01,2001-08-31,Cerrado_campo
18,-47.0340,-10.7327,2016-09-01,2017-08-31,Cerrado_campo
19,-47.0853,-10.7164,2016-09-01,2017-08-31,Cerrado_campo
20,-47.0870,-10.7863,2016-09-01,2017-08-31,Cerrado_campo
21,-46.9443,-10.8733,2016-09-01,2017-08-31,Cerrado_campo
22,-46.9443,-10.8733,2015-09-01,2016-08-31,Cerrado_campo
23,-46.9443,-10.8733,2014-09-01,2015-08-31,Cerrado_campo
24,-46.9443,-10.8733,2013-09-01,2014-08-31,Cerrado_campo
25,-46.9443,-10.8733,2012-09-01,2013-08-31,Cerrado_campo
26,-46.9443,-10.8733,2011-09-01,2012-08-31,Cerrado_campo
27,-46.9443,-10.8733,2010-09-01,2011-08-31,Cerrado_campo
28,-46.9443,-10.8733,2009-09-01,2010-08-31,Cerrado_campo
29,-46.9443,-10.8733,2008-09-01,2009-08-31,Cerrado_campo
30,-46.9443,-10.8733,2007-09-01,2008-08-31,Cerrado_campo
31,-46.9443,-10.8733,2006-09-01,2007-08-31,Cerrado_campo
32,-46.9443,-10.8733,2005-09-01,2006-08-31,Cerrado_campo
33,-46.9443,-10.8733,2004-09-01,2005-08-31,Cerrado_campo
34,-46.9443,-10.8733,2003-09-01,2004-08-31,Cerrado_campo
35,-46.9443,-10.8733,2002-09-01,2003-08-31,Cerrado_campo
36,-46.9443,-10.8733,2001-09-01,2002-08-31,Cerrado_campo
37,-46.9443,-10.8733,2000-09-01,2001-08-31,Cerrado_campo
38,-46.9328,-10.8796,2016-09-01,2017-08-31,Cerrado_campo
39,-46.9285,-10.8837,2016-09-01,2017-08-31,Cerrado_campo
40,-46.9653,-10.9739,2016-09-01,2017-08-31,Cerrado_campo
41,-46.9653,-10.9739,2015-09-01,2016-08-31,Cerrado_campo
42,-46.9653,-10.9739,2014-09-01,2015-08-31,Cerrado_campo
43,-46.9653,-10.9739,2013-09-01,2014-08-31,Cerrado_campo
44,-46.9653,-10.9739,2012-09-01,2013-08-31,Cerrado_campo
45,-46.9653,-10.9739,2011-09-01,2012-08-31,Cerrado_campo
46,-46.9653,-10.9739,2010-09-01,2011-08-31,Cerrado_campo
47,-46.9653,-10.9739,2009-09-01,2010-08-31,Cerrado_campo
48,-46.9653,-10.9739,2008-09-01,2009-08-31,Cerrado_campo
49,-46.9653,-10.9739,2007-09-01,2008-08-31,Cerrado_campo
50,-46.9653,-10.9739,2006-09-01,2007-08-31,Cerrado_campo
51,-46.9653,-10.9739,2005-09-01,2006-08-31,Cerrado_campo
52,-46.9653,-10.9739,2004-09-01,2005-08-31,Cerrado_campo
53,-46.9653,-10.9739,2003-09-01,2004-08-31,Cerrado_campo
54,-46.9653,-10.9739,2002-09-01,2003-08-31,Cerrado_campo
55,-46.9653,-10.9739,2001-09-01,2002-08-31,Cerrado_campo
56,-46.9653,-10.9739,2000-09-01,2001-08-31,Cerrado_campo
57,-46.9553,-10.9745,2016-09-01,2017-08-31,Cerrado_campo
58,-46.9599,-10.9795,2016-09-01,2017-08-31,Cerrado_campo
59,-46.9599,-10.9795,2015-09-01,2016-08-31,Cerrado_campo
60,-46.9599,-10.9795,2014-09-01,2015-08-31,Cerrado_campo
61,-46.9599,-10.9795,2013-09-01,2014-08-31,Cerrado_campo
62,-46.9599,-10.9795,2012-09-01,2013-08-31,Cerrado_campo
63,-46.9599,-10.9795,2011-09-01,2012-08-31,Cerrado_campo
64,-46.9599,-10.9795,2010-09-01,2011-08-31,Cerrado_campo
65,-46.9599,-10.9795,2009-09-01,2010-08-31,Cerrado_campo
66,-46.9599,-10.9795,2008-09-01,2009-08-31,Cerrado_campo
67,-46.9599,-10.9795,2007-09-01,2008-08-31,Cerrado_campo
68,-46.9599,-10.9795,2006-09-01,2007-08-31,Cerrado_campo
69,-46.9599,-10.9795,2005-09-01,2006-08-31,Cerrado_campo
70,-46.9599,-10.9795,2004-09-01,2005-08-31,Cerrado_campo
71,-46.9599,-10.9795,2003-09-01,2004-08-31,Cerrado_campo
72,-46.9599,-10.9795,2002-09-01,2003-08-31,Cerrado_campo
73,-46.9599,-10.9795,2001-09-01,2002-08-31,Cerrado_campo
74,-46.9599,-10.9795,2000-09-01,2001-08-31,Cerrado_campo
75,-46.9469,-10.9968,2016-09-01,2017-08-31,Cerrado_campo
76,-46.9623,-11.0034,2016-09-01,2017-08-31,Cerrado_campo
77,-46.9738,-11.0148,2016-09-01,2017-08-31,Cerrado_campo
78,-47.0216,-10.9103,2016-09-01,2017-08-31,Cerrado_campo
79,-46.9805,-11.0367,2001-09-01,2002-08-31,Cerrado_campo
80,-46.9805,-11.0367,2000-09-01,2001-08-31,Cerrado_campo
81,-46.9756,-11.1089,2016-09-01,2017-08-31,Cerrado_campo
82,-46.9772,-11.1144,2016-09-01,2017-08-31,Cerrado_campo
83,-46.9839,-11.1138,2001-09-01,2002-08-31,Cerrado_campo
84,-46.9839,-11.1138,2000-09-01,2001-08-31,Cerrado_campo
85,-47.0001,-11.1224,2016-09-01,2017-08-31,Cerrado_campo
86,-46.9281,-11.1953,2016-09-01,2017-08-31,Cerrado_campo
87,-46.9281,-11.1953,2015-09-01,2016-08-31,Cerrado_campo
88,-46.9281,-11.1953,2014-09-01,2015-08-31,Cerrado_campo
89,-46.9281,-11.1953,2013-09-01,2014-08-31,Cerrado_campo
