id,longitude,latitude,start_date,end_date,label
1,-47.6595,-8.3358,2004-09-01,2005-08-31,Cerrado_Campo
2,-47.6595,-8.3358,2003-09-01,2004-08-31,Cerrado_Campo
3,-47.6595,-8.3358,2002-09-01,2003-08-31,Cerrado_Campo
4,-47.6595,-8.3358,2001-09-01,2002-08-31,Cerrado_Campo
5,-47.6595,-8.3358,2000-09-01,2001-08-31,Cerrado_Campo
6,-47.6531,-8.3344,2004-09-01,2005-08-31,Cerrado_Campo
7,-47.6531,-8.3344,2003-09-01,2004-08-31,Cerrado_Campo
8,-47.6531,-8.3344,2002-09-01,2003-08-31,Cerrado_Campo
9,-47.6531,-8.3344,2001-09-01,2002-08-31,Cerrado_Campo
10,-47.6531,-8.3344,2000-09-01,2001-08-31,Cerrado_Campo
11,-47.6499,-8.3295,2004-09-01,2005-08-31,Cerrado_Campo
12,-47.6499,-8.3295,2003-09-01,2004-08-31,Cerrado_Campo
13,-47.6499,-8.3295,2002-09-01,2003-08-31,Cerrado_Campo
14,-47.6499,-8.3295,2001-09-01,2002-08-31,Cerrado_Campo
15,-47.6499,-8.3295,2000-09-01,2001-08-31,Cerrado_Campo
16,-47.6564,-8.3441,2004-09-01,2005-08-31,Cerrado_Campo
17,-47.6564,-8.3441,2003-09-01,2004-08-31,Cerrado_Campo
18,-47.6564,-8.3441,2002-09-01,2003-08-31,Cerrado_Campo
19,-47.6564,-8.3441,2001-09-01,2002-08-31,Cerrado_Campo
20,-47.6564,-8.3441,2000-09-01,2001-08-31,Cerrado_Campo
21,-47.6548,-8.3496,2004-09-01,2005-08-31,Cerrado_Campo
22,-47.6548,-8.3496,2003-09-01,2004-08-31,Cerrado_Campo
23,-47.6548,-8.3496,2002-09-01,2003-08-31,Cerrado_Campo
24,-47.6548,-8.3496,2001-09-01,2002-08-31,Cerrado_Campo
25,-47.6548,-8.3496,2000-09-01,2001-08-31,Cerrado_Campo
26,-47.6271,-8.3388,2009-09-01,2010-08-31,Cerrado_Campo
27,-47.6271,-8.3388,2008-09-01,2009-08-31,Cerrado_Campo
28,-47.6271,-8.3388,2007-09-01,2008-08-31,Cerrado_Campo
29,-47.6271,-8.3388,2006-09-01,2007-08-31,Cerrado_Campo
30,-47.6271,-8.3388,2005-09-01,2006-08-31,Cerrado_Campo
31,-47.6144,-8.3335,2006-09-01,2007-08-31,Cerrado_Campo
32,-47.6144,-8.3335,2005-09-01,2006-08-31,Cerrado_Campo
33,-47.6144,-8.3335,2004-09-01,2005-08-31,Cerrado_Campo
34,-47.6144,-8.3335,2003-09-01,2004-08-31,Cerrado_Campo
35,-47.6144,-8.3335,2002-09-01,2003-08-31,Cerrado_Campo
36,-47.6360,-8.3576,2015-09-01,2016-08-31,Cerrado_Campo
37,-47.6360,-8.3576,2014-09-01,2015-08-31,Cerrado_Campo
38,-47.6360,-8.3576,2013-09-01,2014-08-31,Cerrado_Campo
39,-47.6360,-8.3576,2012-09-01,2013-08-31,Cerrado_Campo
40,-47.6360,-8.3576,2011-09-01,2012-08-31,Cerrado_Campo
41,-47.6360,-8.3576,2010-09-01,2011-08-31,Cerrado_Campo
42,-47.6332,-8.3710,2015-09-01,2016-08-31,Cerrado_Campo
43,-47.6332,-8.3710,2014-09-01,2015-08-31,Cerrado_Campo
44,-47.6332,-8.3710,2013-09-01,2014-08-31,Cerrado_Campo
45,-47.6332,-8.3710,2012-09-01,2013-08-31,Cerrado_Campo
46,-47.6332,-8.3710,2011-09-01,2012-08-31,Cerrado_Campo
47,-47.6332,-8.3710,2010-09-01,2011-08-31,Cerrado_Campo
48,-47.6001,-8.3221,2009-09-01,2010-08-31,Cerrado_Campo
49,-47.6001,-8.3221,2008-09-01,2009-08-31,Cerrado_Campo
50,-47.6001,-8.3221,2007-09-01,2008-08-31,Cerrado_Campo
51,-47.6001,-8.3221,2006-09-01,2007-08-31,Cerrado_Campo
52,-47.6001,-8.3221,2005-09-01,2006-08-31,Cerrado_Campo
53,-47.5977,-8.3184,2009-09-01,2010-08-31,Cerrado_Campo
54,-47.5977,-8.3184,2008-09-01,2009-08-31,Cerrado_Campo
55,-47.5977,-8.3184,2007-09-01,2008-08-31,Cerrado_Campo
56,-47.5977,-8.3184,2006-09-01,2007-08-31,Cerrado_Campo
57,-47.5977,-8.3184,2005-09-01,2006-08-31,Cerrado_Campo
58,-47.5860,-8.3127,2009-09-01,2010-08-31,Cerrado_Campo
59,-47.5860,-8.3127,2008-09-01,2009-08-31,Cerrado_Campo
60,-47.5860,-8.3127,2007-09-01,2008-08-31,Cerrado_Campo
61,-47.5860,-8.3127,2006-09-01,2007-08-31,Cerrado_Campo
62,-47.5860,-8.3127,2005-09-01,2006-08-31,Cerrado_Campo
63,-47.5785,-8.3056,2009-09-01,2010-08-31,Cerrado_Campo
64,-47.5785,-8.3056,2008-09-01,2009-08-31,Cerrado_Campo
65,-47.5785,-8.3056,2007-09-01,2008-08-31,Cerrado_Campo
66,-47.5785,-8.3056,2006-09-01,2007-08-31,Cerrado_Campo
67,-47.5785,-8.3056,2005-09-01,2006-08-31,Cerrado_Campo
68,-47.5578,-8.3214,2010-09-01,2011-08-31,Cerrado_Campo
69,-47.5578,-8.3214,2009-09-01,2010-08-31,Cerrado_Campo
70,-47.5578,-8.3214,2008-09-01,2009-08-31,Cerrado_Campo
71,-47.5578,-8.3214,2007-09-01,2008-08-31,Cerrado_Campo
72,-47.5578,-8.3214,2006-09-01,2007-08-31,Cerrado_Campo
73,-47.5578,-8.3214,2005-09-01,2006-08-31,Cerrado_Campo
74,-47.5578,-8.3214,2004-09-01,2005-08-31,Cerrado_Campo
75,-47.5578,-8.3214,2003-09-01,2004-08-31,Cerrado_Campo
76,-47.5578,-8.3214,2002-09-01,2003-08-31,Cerrado_Campo
77,-47.5578,-8.3214,2001-09-01,2002-08-31,Cerrado_Campo
78,-47.5526,-8.3224,2010-09-01,2011-08-31,Cerrado_Campo
79,-47.5526,-8.3224,2009-09-01,2010-08-31,Cerrado_Campo
80,-47.5526,-8.3224,2008-09-01,2009-08-31,Cerrado_Campo
81,-47.5526,-8.3224,2007-09-01,2008-08-31,Cerrado_Campo
82,-47.5526,-8.3224,2006-09-01,2007-08-31,Cerrado_Campo
83,-47.5526,-8.3224,2005-09-01,2006-08-31,Cerrado_Campo
84,-47.5526,-8.3224,2004-09-01,2005-08-31,Cerrado_Campo
85,-47.5526,-8.3224,2003-09-01,2004-08-31,Cerrado_Campo
86,-47.5526,-8.3224,2002-09-01,2003-08-31,Cerrado_Campo
87,-47.5526,-8.3224,2001-09-01,2002-08-31,Cerrado_Campo
88,-47.5471,-8.3267,2010-09-01,2011-08-31,Cerrado_Campo
89,-47.5471,-8.3267,2009-09-01,2010-08-31,Cerrado_Campo
90,-47.5471,-8.3267,2008-09-01,2009-08-31,Cerrado_Campo
91,-47.5471,-8.3267,2007-09-01,2008-08-31,Cerrado_Campo
92,-47.5471,-8.3267,2006-09-01,2007-08-31,Cerrado_Campo
93,-47.5471,-8.3267,2005-09-01,2006-08-31,Cerrado_Campo
94,-47.5471,-8.3267,2004-09-01,2005-08-31,Cerrado_Campo
95,-47.5471,-8.3267,2003-09-01,2004-08-31,Cerrado_Campo
96,-47.5471,-8.3267,2002-09-01,2003-08-31,Cerrado_Campo
97,-47.5471,-8.3267,2001-09-01,2002-08-31,Cerrado_Campo
98,-47.5357,-8.3263,2010-09-01,2011-08-31,Cerrado_Campo
99,-47.5357,-8.3263,2009-09-01,2010-08-31,Cerrado_Campo
100,-47.5357,-8.3263,2008-09-01,2009-08-31,Cerrado_Campo
101,-47.5357,-8.3263,2007-09-01,2008-08-31,Cerrado_Campo
102,-47.5357,-8.3263,2006-09-01,2007-08-31,Cerrado_Campo
103,-47.5357,-8.3263,2005-09-01,2006-08-31,Cerrado_Campo
104,-47.5357,-8.3263,2004-09-01,2005-08-31,Cerrado_Campo
105,-47.5357,-8.3263,2003-09-01,2004-08-31,Cerrado_Campo
106,-47.5357,-8.3263,2002-09-01,2003-08-31,Cerrado_Campo
107,-47.5357,-8.3263,2001-09-01,2002-08-31,Cerrado_Campo
108,-47.5182,-8.3359,2012-09-01,2013-09-01,Cerrado_Campo
109,-47.5182,-8.3359,2011-09-01,2012-09-01,Cerrado_Campo
110,-47.5182,-8.3359,2010-09-01,2011-08-31,Cerrado_Campo
111,-47.5182,-8.3359,2009-09-01,2010-08-31,Cerrado_Campo
112,-47.5182,-8.3359,2008-09-01,2009-08-31,Cerrado_Campo
113,-47.5182,-8.3359,2007-09-01,2008-08-31,Cerrado_Campo
114,-47.5182,-8.3359,2006-09-01,2007-08-31,Cerrado_Campo
115,-47.5182,-8.3359,2005-09-01,2006-08-31,Cerrado_Campo
116,-47.5182,-8.3359,2004-09-01,2005-08-31,Cerrado_Campo
117,-47.5182,-8.3359,2003-09-01,2004-08-31,Cerrado_Campo
118,-47.5182,-8.3359,2002-09-01,2003-08-31,Cerrado_Campo
119,-47.5182,-8.3359,2001-09-01,2002-08-31,Cerrado_Campo
120,-47.5182,-8.3359,2000-09-01,2001-08-31,Cerrado_Campo
121,-47.5113,-8.3377,2012-09-01,2013-09-01,Cerrado_Campo
122,-47.5113,-8.3377,2011-09-01,2012-09-01,Cerrado_Campo
123,-47.5113,-8.3377,2010-09-01,2011-08-31,Cerrado_Campo
124,-47.5113,-8.3377,2009-09-01,2010-08-31,Cerrado_Campo
125,-47.5113,-8.3377,2008-09-01,2009-08-31,Cerrado_Campo
126,-47.5113,-8.3377,2007-09-01,2008-08-31,Cerrado_Campo
127,-47.5113,-8.3377,2006-09-01,2007-08-31,Cerrado_Campo
128,-47.5113,-8.3377,2005-09-01,2006-08-31,Cerrado_Campo
129,-47.5113,-8.3377,2004-09-01,2005-08-31,Cerrado_Campo
