id,longitude,latitude,start_date,end_date,label
1,-55.1852,-10.8378,2013-09-14,2014-08-29,Pasture
2,-57.794,-9.7573,2006-09-14,2007-08-29,Pasture
3,-51.9412,-13.4198,2014-09-14,2015-08-29,Pasture
4,-55.9643,-10.0621,2005-09-14,2006-08-29,Pasture
5,-54.554,-10.3749,2013-09-14,2014-08-29,Pasture
6,-52.4572,-10.9512,2013-09-14,2014-08-29,Pasture
7,-52.1443,-13.9981,2013-09-14,2014-08-29,Pasture
8,-57.6907,-13.3382,2015-09-14,2016-08-28,Pasture
9,-54.7034,-16.4265,2015-09-14,2016-08-28,Pasture
10,-53.6543,-15.7155,2014-09-14,2015-08-29,Pasture
11,-56.7898,-11.4209,2011-09-14,2012-08-28,Pasture
12,-55.0254,-10.0669,2013-09-14,2014-08-29,Pasture
13,-55.2219,-15.6638,2015-09-14,2016-08-28,Pasture
14,-55.3344,-12.3212,2014-09-14,2015-08-29,Pasture
15,-52.4244,-15.8492,2013-09-14,2014-08-29,Pasture
16,-52.296,-14.5021,2013-09-14,2014-08-29,Pasture
17,-56.4659,-14.3062,2014-09-14,2015-08-29,Pasture
18,-55.0574,-14.2136,2003-09-14,2004-08-28,Pasture
19,-54.3523,-15.7024,2015-09-14,2016-08-28,Pasture
20,-51.8127,-12.9071,2013-09-14,2014-08-29,Pasture
21,-59.0879,-15.2475,2002-09-14,2003-08-29,Pasture
22,-52.2846,-14.8633,2014-09-14,2015-08-29,Pasture
23,-55.3012,-11.2152,2013-09-14,2014-08-29,Pasture
24,-52.2087,-15.1112,2013-09-14,2014-08-29,Pasture
25,-51.8678,-12.9663,2013-09-14,2014-08-29,Pasture
26,-56.7898,-11.4209,2012-09-13,2013-08-29,Pasture
27,-52.3999,-11.1348,2013-09-14,2014-08-29,Pasture
28,-52.2933,-15.7941,2013-09-14,2014-08-29,Pasture
29,-54.5348,-16.5734,2015-09-14,2016-08-28,Pasture
30,-55.9323,-14.5852,2014-09-14,2015-08-29,Pasture
31,-52.3452,-11.2405,2013-09-14,2014-08-29,Pasture
32,-55.0997,-14.2091,2005-09-14,2006-08-29,Pasture
33,-52.8096,-15.6518,2014-09-14,2015-08-29,Pasture
34,-55.9432,-14.6907,2011-09-14,2012-08-28,Pasture
35,-56.518,-15.1165,2015-09-14,2016-08-28,Pasture
36,-51.5718,-12.603,2014-09-14,2015-08-29,Pasture
37,-59.808,-14.3551,2002-09-14,2003-08-29,Pasture
38,-51.8894,-13.0101,2013-09-14,2014-08-29,Pasture
39,-56.3055,-13.4345,2015-09-14,2016-08-28,Pasture
40,-52.1806,-15.1645,2013-09-14,2014-08-29,Pasture
41,-57.5687,-14.366,2014-09-14,2015-08-29,Pasture
42,-55.0574,-14.2136,2008-09-13,2009-08-29,Pasture
43,-51.7805,-12.748,2013-09-14,2014-08-29,Pasture
44,-55.0312,-14.2294,2004-09-13,2005-08-29,Pasture
45,-52.4571,-10.9237,2013-09-14,2014-08-29,Pasture
46,-59.808,-14.3551,2011-09-14,2012-08-28,Pasture
47,-54.3989,-10.453,2014-09-14,2015-08-29,Pasture
48,-56.6465,-13.8453,2015-09-14,2016-08-28,Pasture
49,-60.4875,-13.0058,2012-09-13,2013-08-29,Pasture
50,-59.8262,-14.363,2012-09-13,2013-08-29,Pasture
51,-52.4576,-10.9625,2013-09-14,2014-08-29,Pasture
52,-54.9797,-10.2289,2014-09-14,2015-08-29,Pasture
53,-55.9472,-10.0801,2006-09-14,2007-08-29,Pasture
54,-52.9263,-15.5581,2013-09-14,2014-08-29,Pasture
55,-52.2688,-14.4528,2013-09-14,2014-08-29,Pasture
56,-60.4827,-12.988,2008-09-13,2009-08-29,Pasture
57,-51.925,-13.161,2014-09-14,2015-08-29,Pasture
58,-52.2098,-15.1053,2013-09-14,2014-08-29,Pasture
59,-52.7058,-10.8094,2014-09-14,2015-08-29,Pasture
60,-54.0808,-10.4529,2013-09-14,2014-08-29,Pasture
61,-51.9407,-13.2325,2013-09-14,2014-08-29,Pasture
62,-58.7672,-11.3732,2008-09-13,2009-08-29,Pasture
63,-55.2881,-11.0776,2013-09-14,2014-08-29,Pasture
64,-52.3754,-11.19,2013-09-14,2014-08-29,Pasture
65,-56.023,-14.1607,2007-09-14,2008-08-28,Pasture
66,-55.8955,-10.081,2004-09-13,2005-08-29,Pasture
67,-59.8262,-14.363,2010-09-14,2011-08-29,Pasture
68,-56.1084,-14.4192,2014-09-14,2015-08-29,Pasture
69,-52.6474,-15.7199,2013-09-14,2014-08-29,Pasture
70,-59.808,-14.3551,2012-09-13,2013-08-29,Pasture
71,-55.0917,-14.2115,2009-09-14,2010-08-29,Pasture
72,-60.4875,-13.0058,2008-09-13,2009-08-29,Pasture
73,-51.818,-12.911,2013-09-14,2014-08-29,Pasture
74,-52.2119,-15.098,2013-09-14,2014-08-29,Pasture
75,-53.599,-15.6653,2013-09-14,2014-08-29,Pasture
76,-56.0585,-14.4378,2014-09-14,2015-08-29,Pasture
77,-52.2071,-15.6595,2013-09-14,2014-08-29,Pasture
78,-56.2644,-14.4678,2014-09-14,2015-08-29,Pasture
79,-52.1867,-15.231,2013-09-14,2014-08-29,Pasture
80,-52.5959,-15.7452,2014-09-14,2015-08-29,Pasture
81,-55.3004,-16.0771,2015-09-14,2016-08-28,Pasture
82,-54.3378,-10.4337,2013-09-14,2014-08-29,Pasture
83,-52.8629,-15.5658,2013-09-14,2014-08-29,Pasture
84,-55.2035,-10.9138,2014-09-14,2015-08-29,Pasture
85,-51.7784,-12.7903,2013-09-14,2014-08-29,Pasture
86,-58.7614,-11.3723,2010-09-14,2011-08-29,Pasture
87,-55.0626,-10.395,2013-09-14,2014-08-29,Pasture
88,-54.2055,-15.3657,2014-09-14,2015-08-29,Pasture
89,-52.8119,-15.6762,2014-09-14,2015-08-29,Pasture
90,-55.2554,-15.5029,2013-09-14,2014-08-29,Pasture
91,-56.023,-14.1607,2003-09-14,2004-08-28,Pasture
92,-51.565,-12.5681,2007-09-14,2008-08-28,Pasture
93,-54.9687,-15.1836,2015-09-14,2016-08-28,Pasture
94,-57.6283,-13.7235,2015-09-14,2016-08-28,Pasture
95,-55.0849,-10.5681,2013-09-14,2014-08-29,Pasture
96,-52.6781,-15.6975,2013-09-14,2014-08-29,Pasture
97,-52.2062,-15.473,2013-09-14,2014-08-29,Pasture
98,-52.6716,-15.7104,2013-09-14,2014-08-29,Pasture
99,-52.2008,-15.1414,2013-09-14,2014-08-29,Pasture
100,-54.9734,-15.2246,2015-09-14,2016-08-28,Pasture
101,-55.7102,-15.4768,2015-09-14,2016-08-28,Pasture
102,-59.8262,-14.363,2002-09-14,2003-08-29,Pasture
103,-56.1974,-14.5368,2015-09-14,2016-08-28,Pasture
104,-52.042,-13.8071,2014-09-14,2015-08-29,Pasture
105,-54.9061,-10.23,2014-09-14,2015-08-29,Pasture
106,-52.2028,-15.133,2013-09-14,2014-08-29,Pasture
107,-52.4163,-11.0909,2013-09-14,2014-08-29,Pasture
108,-52.4572,-15.8338,2013-09-14,2014-08-29,Pasture
109,-52.5087,-15.7817,2013-09-14,2014-08-29,Pasture
110,-51.9357,-13.4561,2013-09-14,2014-08-29,Pasture
111,-52.1718,-14.3372,2014-09-14,2015-08-29,Pasture
112,-57.6294,-13.2873,2015-09-14,2016-08-28,Pasture
113,-56.1242,-14.4341,2014-09-14,2015-08-29,Pasture
114,-51.565,-12.5681,2010-09-14,2011-08-29,Pasture
115,-51.743,-12.3566,2014-09-14,2015-08-29,Pasture
116,-55.0443,-15.2015,2015-09-14,2016-08-28,Pasture
117,-52.7398,-10.8114,2014-09-14,2015-08-29,Pasture
