id,longitude,latitude,start_date,end_date,label
1097,-52.9000,-17.9857,2015-09-01,2016-08-31,Cerrado
1098,-52.9000,-17.9857,2014-09-01,2015-08-31,Cerrado
1099,-52.9000,-17.9857,2013-09-01,2014-08-31,Cerrado
1100,-52.9000,-17.9857,2012-09-01,2013-08-31,Cerrado
1101,-52.9000,-17.9857,2011-09-01,2012-08-31,Cerrado
1102,-52.9000,-17.9857,2010-09-01,2011-08-31,Cerrado
1103,-52.9000,-17.9857,2009-09-01,2010-08-31,Cerrado
1104,-52.9000,-17.9857,2008-09-01,2009-08-31,Cerrado
1105,-52.9000,-17.9857,2007-09-01,2008-08-31,Cerrado
1106,-52.9000,-17.9857,2006-09-01,2007-08-31,Cerrado
1107,-52.9000,-17.9857,2005-09-01,2006-08-31,Cerrado
1108,-52.9000,-17.9857,2004-09-01,2005-08-31,Cerrado
1109,-52.9000,-17.9857,2003-09-01,2004-08-31,Cerrado
1110,-52.9000,-17.9857,2002-09-01,2003-08-31,Cerrado
1111,-52.9000,-17.9857,2001-09-01,2002-08-31,Cerrado
1112,-52.9000,-17.9857,2000-09-01,2001-08-31,Cerrado
1118,-52.8970,-17.9864,2015-09-01,2016-08-31,Cerrado
1119,-52.8970,-17.9864,2014-09-01,2015-08-31,Cerrado
1120,-52.8970,-17.9864,2013-09-01,2014-08-31,Cerrado
1121,-52.8970,-17.9864,2012-09-01,2013-08-31,Cerrado
1122,-52.8970,-17.9864,2011-09-01,2012-08-31,Cerrado
1123,-52.8970,-17.9864,2010-09-01,2011-08-31,Cerrado
1124,-52.8970,-17.9864,2009-09-01,2010-08-31,Cerrado
1125,-52.8970,-17.9864,2008-09-01,2009-08-31,Cerrado
1126,-52.8970,-17.9864,2007-09-01,2008-08-31,Cerrado
1127,-52.8970,-17.9864,2006-09-01,2007-08-31,Cerrado
1128,-52.8970,-17.9864,2005-09-01,2006-08-31,Cerrado
1129,-52.8970,-17.9864,2004-09-01,2005-08-31,Cerrado
1130,-52.8970,-17.9864,2003-09-01,2004-08-31,Cerrado
1131,-52.8970,-17.9864,2002-09-01,2003-08-31,Cerrado
1132,-52.8970,-17.9864,2001-09-01,2002-08-31,Cerrado
1133,-52.8970,-17.9864,2000-09-01,2001-08-31,Cerrado
1138,-52.8980,-17.9952,2015-09-01,2016-08-31,Cerrado
1139,-52.8980,-17.9952,2014-09-01,2015-08-31,Cerrado
1140,-52.8980,-17.9952,2013-09-01,2014-08-31,Cerrado
1141,-52.8980,-17.9952,2012-09-01,2013-08-31,Cerrado
1142,-52.8980,-17.9952,2011-09-01,2012-08-31,Cerrado
1143,-52.8980,-17.9952,2010-09-01,2011-08-31,Cerrado
1144,-52.8980,-17.9952,2009-09-01,2010-08-31,Cerrado
1145,-52.8980,-17.9952,2008-09-01,2009-08-31,Cerrado
1146,-52.8980,-17.9952,2007-09-01,2008-08-31,Cerrado
1147,-52.8980,-17.9952,2006-09-01,2007-08-31,Cerrado
1148,-52.8980,-17.9952,2005-09-01,2006-08-31,Cerrado
1149,-52.8980,-17.9952,2004-09-01,2005-08-31,Cerrado
1150,-52.8980,-17.9952,2003-09-01,2004-08-31,Cerrado
1151,-52.8980,-17.9952,2002-09-01,2003-08-31,Cerrado
1152,-52.8980,-17.9952,2001-09-01,2002-08-31,Cerrado
