id,longitude,latitude,start_date,end_date,label
1,-65.0861863281041,-10.7168556269928,2018-07-12,2019-07-28,Forest
2,-65.210333211679,-10.6587894426225,2018-07-12,2019-07-28,Pasture
3,-65.2464235305113,-10.4701861570021,2018-07-12,2019-07-28,Forest
4,-64.872512981083,-9.99773943893612,2018-07-12,2019-07-28,Forest
5,-65.116307199678,-10.0739211574261,2018-07-12,2019-07-28,Pasture
6,-65.1213301881457,-10.4313652124843,2018-07-12,2019-07-28,Pasture
7,-65.0496197002811,-10.8908223684694,2018-07-12,2019-07-28,Pasture
8,-64.8705609720554,-10.6404842677196,2018-07-12,2019-07-28,NatNonForest
9,-64.7888968362929,-10.1328105218166,2018-07-12,2019-07-28,Forest
10,-64.7480299008621,-10.4658091880384,2018-07-12,2019-07-28,Forest
11,-65.1868600620855,-10.3616911822658,2018-07-12,2019-07-28,Pasture
12,-64.9159808172906,-10.9154598419553,2018-07-12,2019-07-28,Forest
13,-65.1598588500285,-10.8971155102753,2018-07-12,2019-07-28,Pasture
14,-65.0099156510998,-10.4717670618151,2018-07-12,2019-07-28,Forest
15,-64.9566276373249,-10.8791365153343,2018-07-12,2019-07-28,NatNonForest
16,-65.0381877812921,-10.3533576979191,2018-07-12,2019-07-28,Forest
17,-64.8310096617904,-10.3012667929035,2018-07-12,2019-07-28,Deforestation
18,-65.2015673099217,-10.0176884561765,2018-07-12,2019-07-28,Deforestation
19,-64.9440016125366,-10.0726296961173,2018-07-12,2019-07-28,Forest
20,-65.0232697041072,-10.0585950349384,2018-07-12,2019-07-28,Pasture
21,-64.9031430778635,-10.1047780813356,2018-07-12,2019-07-28,Forest
22,-65.1770876675368,-10.4137272281713,2018-07-12,2019-07-28,Forest
23,-65.2319224499581,-10.3184514422513,2018-07-12,2019-07-28,Pasture
24,-64.8755157911274,-10.3866188828951,2018-07-12,2019-07-28,Forest
25,-65.2725897527461,-10.9067837996701,2018-07-12,2019-07-28,Pasture
26,-65.0058497686187,-10.8550465574694,2018-07-12,2019-07-28,Forest
27,-65.2593359876819,-10.7367051380759,2018-07-12,2019-07-28,NatNonForest
28,-65.0723348190513,-9.98625079033189,2018-07-12,2019-07-28,Pasture
29,-65.1603587884046,-10.2772714271228,2018-07-12,2019-07-28,Forest
30,-64.8266801170937,-10.4518983347579,2018-07-12,2019-07-28,Forest
31,-64.8612570605064,-10.2599624945636,2018-07-12,2019-07-28,Forest
32,-64.9260191055216,-10.3883084264886,2018-07-12,2019-07-28,Deforestation
33,-64.8562274000995,-10.068614402098,2018-07-12,2019-07-28,Pasture
34,-64.9567416950271,-10.006927249581,2018-07-12,2019-07-28,Deforestation
35,-65.140428954447,-10.8526032046572,2018-07-12,2019-07-28,NatNonForest
36,-64.9698771649993,-10.3348908042856,2018-07-12,2019-07-28,Deforestation
37,-65.1791499716788,-10.0743260758029,2018-07-12,2019-07-28,Forest
38,-65.2319765387828,-10.8683109541207,2018-07-12,2019-07-28,Pasture
39,-65.0353870986995,-10.1579510851044,2018-07-12,2019-07-28,Deforestation
40,-64.8756363760122,-10.0334297825751,2018-07-12,2019-07-28,Pasture
41,-64.9452740060988,-10.2528711294437,2018-07-12,2019-07-28,Pasture
42,-64.9912076833607,-10.1692504383699,2018-07-12,2019-07-28,Pasture
43,-64.9130466333928,-10.296724114228,2018-07-12,2019-07-28,Pasture
44,-64.7527833193555,-10.3026042349384,2018-07-12,2019-07-28,Pasture
45,-65.1419304770672,-10.031545896959,2018-07-12,2019-07-28,Forest
46,-65.1747958845649,-10.9014384970201,2018-07-12,2019-07-28,Forest
47,-64.9668418788256,-10.3897782343844,2018-07-12,2019-07-28,Pasture
48,-65.1854699507969,-10.1457772751541,2018-07-12,2019-07-28,Forest
49,-65.1606291067678,-10.018409216482,2018-07-12,2019-07-28,Deforestation
50,-64.9039083241508,-10.1725720367284,2018-07-12,2019-07-28,Pasture
