id,longitude,latitude,start_date,end_date,label
1,-64.6944799243994,-9.98631218307752,2018-07-12,2019-07-28,Deforestation
2,-64.6297942235096,-9.99666756392197,2018-07-12,2019-07-28,Deforestation
3,-64.521625014157,-9.97977178653196,2018-07-12,2019-07-28,Deforestation
4,-64.5204929298378,-10.0036823551838,2018-07-12,2019-07-28,Deforestation
5,-64.7076592900856,-10.0615057704589,2018-07-12,2019-07-28,Deforestation
6,-64.4830433908517,-10.0581557371367,2018-07-12,2019-07-28,Deforestation
7,-64.7122223941479,-10.0774813995969,2018-07-12,2019-07-28,Deforestation
8,-64.6921862143848,-10.081131656729,2018-07-12,2019-07-28,Deforestation
9,-64.6917103981197,-10.0889966196999,2018-07-12,2019-07-28,Deforestation
10,-64.4575504848519,-10.1063808235146,2018-07-12,2019-07-28,Deforestation
11,-64.452475111357,-10.1074712357889,2018-07-12,2019-07-28,Deforestation
12,-64.725313172521,-10.1308159712975,2018-07-12,2019-07-28,Deforestation
13,-64.7283173458029,-10.1355671366509,2018-07-12,2019-07-28,Deforestation
14,-64.5366496909586,-10.132420393422,2018-07-12,2019-07-28,Deforestation
15,-64.4671706034087,-10.1553776535529,2018-07-12,2019-07-28,Deforestation
16,-64.4194623842297,-10.1486882497124,2018-07-12,2019-07-28,Deforestation
17,-64.4275579207588,-10.1541831475637,2018-07-12,2019-07-28,Deforestation
18,-64.7214209254992,-10.1730738202375,2018-07-12,2019-07-28,Deforestation
19,-64.7147968167099,-10.1793014154725,2018-07-12,2019-07-28,Deforestation
20,-64.6758014579703,-10.1841782406361,2018-07-12,2019-07-28,Deforestation
21,-64.72398773559,-10.2666243299746,2018-07-12,2019-07-28,Deforestation
22,-64.6972609299532,-10.2826927116112,2018-07-12,2019-07-28,Deforestation
23,-64.6604598820684,-10.280743285701,2018-07-12,2019-07-28,Deforestation
24,-64.4734944114914,-10.2308852048984,2018-07-12,2019-07-28,Deforestation
25,-64.4321112248035,-10.2259521097966,2018-07-12,2019-07-28,Deforestation
26,-64.4729462898134,-10.2677463877429,2018-07-12,2019-07-28,Deforestation
27,-64.4566396698934,-10.2880268898284,2018-07-12,2019-07-28,Deforestation
28,-64.4688353772285,-10.3331098978426,2018-07-12,2019-07-28,Deforestation
29,-64.5000783128737,-10.3406465709149,2018-07-12,2019-07-28,Deforestation
30,-64.4990912140657,-10.3526732243851,2018-07-12,2019-07-28,Deforestation
31,-64.4042203345601,-10.3710758889639,2018-07-12,2019-07-28,Deforestation
32,-64.4478837995856,-10.3771339089805,2018-07-12,2019-07-28,Deforestation
33,-64.4716586705942,-10.3820489063525,2018-07-12,2019-07-28,Deforestation
34,-64.5035490023798,-10.4223976057085,2018-07-12,2019-07-28,Deforestation
35,-64.4555420513047,-10.4279984166673,2018-07-12,2019-07-28,Deforestation
36,-64.4609142577345,-10.4131391222869,2018-07-12,2019-07-28,Deforestation
37,-64.4843462219498,-10.4339421344194,2018-07-12,2019-07-28,Deforestation
38,-64.6723826947809,-10.3336860087127,2018-07-12,2019-07-28,Deforestation
39,-64.6116111615047,-10.3686917413664,2018-07-12,2019-07-28,Deforestation
40,-64.4842301899473,-10.4367575788348,2018-07-12,2019-07-28,Deforestation
41,-64.5339395984255,-10.4336227512731,2018-07-12,2019-07-28,Deforestation
42,-64.4544493281113,-10.4177246972103,2018-07-12,2019-07-28,Deforestation
43,-64.3371172108025,-10.4286965936762,2018-07-12,2019-07-28,Deforestation
44,-64.5063705366585,-10.4854463669925,2018-07-12,2019-07-28,Deforestation
45,-64.4479352348772,-10.4846838660203,2018-07-12,2019-07-28,Deforestation
46,-64.4456477319605,-10.4803861332677,2018-07-12,2019-07-28,Deforestation
47,-64.6191608267872,-10.493966559254,2018-07-12,2019-07-28,Deforestation
48,-64.5756178772456,-10.4870913566948,2018-07-12,2019-07-28,Deforestation
49,-64.7072473445347,-10.4299801438889,2018-07-12,2019-07-28,Deforestation
