id,longitude,latitude,start_date,end_date,label
1,-46.197,-12.434,2018-08-29,2019-08-13,Cropland
2,-45.666,-12.461,2018-08-29,2019-08-13,Cropland
3,-45.893,-12.662,2018-08-29,2019-08-13,Cropland
4,-46.194,-12.716,2018-08-29,2019-08-13,Cropland
5,-45.968,-12.511,2018-08-29,2019-08-13,Cropland
6,-45.968,-12.932,2018-08-29,2019-08-13,Cropland
7,-46.234,-12.899,2018-08-29,2019-08-13,Cropland
8,-46.023,-12.759,2018-08-29,2019-08-13,Cropland
9,-45.594,-13.056,2018-08-29,2019-08-13,Cropland
10,-46.155,-12.997,2018-08-29,2019-08-13,Cropland
11,-46.181,-13.274,2018-08-29,2019-08-13,Cropland
12,-46.255,-13.188,2018-08-29,2019-08-13,Cropland
13,-45.928,-13.311,2018-08-29,2019-08-13,Cropland
14,-46.176,-13.408,2018-08-29,2019-08-13,Cropland
15,-46.047,-13.336,2018-08-29,2019-08-13,Cropland
16,-45.777,-13.077,2018-08-29,2019-08-13,Cropland
17,-45.816,-13.187,2018-08-29,2019-08-13,Cropland
18,-45.695,-13.315,2018-08-29,2019-08-13,Cropland
19,-45.668,-13.328,2018-08-29,2019-08-13,Cropland
20,-45.965,-13.488,2018-08-29,2019-08-13,Cropland
21,-46.184,-13.528,2018-08-29,2019-08-13,Cropland
22,-46.131,-13.748,2018-08-29,2019-08-13,Cropland
23,-46.231,-13.743,2018-08-29,2019-08-13,Cropland
24,-46.09,-13.869,2018-08-29,2019-08-13,Cropland
25,-45.93,-13.963,2018-08-29,2019-08-13,Cropland
26,-46.058,-13.609,2018-08-29,2019-08-13,Cropland
27,-45.742,-13.93,2018-08-29,2019-08-13,Cropland
28,-46.178,-14.073,2018-08-29,2019-08-13,Cropland
29,-45.747,-14.1,2018-08-29,2019-08-13,Cropland
30,-45.943,-14.08,2018-08-29,2019-08-13,Cropland
31,-46.129,-14.077,2018-08-29,2019-08-13,Cropland
32,-46.229,-13.902,2018-08-29,2019-08-13,Cropland
33,-45.654,-13.84,2018-08-29,2019-08-13,Cropland
34,-45.808,-13.515,2018-08-29,2019-08-13,Cropland
35,-45.995,-13.562,2018-08-29,2019-08-13,Cropland
36,-45.987,-13.351,2018-08-29,2019-08-13,Cropland
37,-45.868,-13.4,2018-08-29,2019-08-13,Cropland
38,-45.656,-13.28,2018-08-29,2019-08-13,Cropland
39,-45.846,-13.326,2018-08-29,2019-08-13,Cropland
40,-45.887,-13.331,2018-08-29,2019-08-13,Cropland
