id,longitude,latitude,start_date,end_date,label
1,-55.0399,-15.1933,2015-09-14,2016-08-28,Pasture
2,-55.0333,-15.1894,2015-09-14,2016-08-28,Pasture
3,-55.0317,-15.1915,2015-09-14,2016-08-28,Pasture
4,-55.1857,-15.3637,2015-09-14,2016-08-28,Soy_Cotton
5,-55.1852,-15.3616,2015-09-14,2016-08-28,Soy_Cotton
6,-55.1744,-15.3616,2015-09-14,2016-08-28,Soy_Cotton
7,-55.2327,-15.4567,2015-09-14,2016-08-28,Soy_Corn
8,-55.3022,-15.6188,2015-09-14,2016-08-28,Soy_Corn
9,-55.2895,-15.5894,2015-09-14,2016-08-28,Soy_Corn
10,-46.5859,-10.4142,2005-09-14,2006-08-28,Cerrado
11,-46.5859,-10.4142,2004-09-14,2005-08-28,Cerrado
12,-46.4070,-10.8630,2007-09-14,2008-08-28,Cerrado
