id,longitude,latitude,start_date,end_date,label
1,-55.0399,-15.1933,2015-09-14,2016-08-28,Pasture
2,-55.0333,-15.1894,2015-09-14,2016-08-28,Pasture
3,-55.0317,-15.1915,2015-09-14,2016-08-28,Pasture
4,-55.0419,-15.2068,2015-09-14,2016-08-28,Pasture
5,-55.0403,-15.2006,2015-09-14,2016-08-28,Pasture
6,-55.0446,-15.2006,2015-09-14,2016-08-28,Pasture
7,-55.0441,-15.1985,2015-09-14,2016-08-28,Pasture
8,-55.0435,-15.1964,2015-09-14,2016-08-28,Pasture
9,-55.0338,-15.1915,2015-09-14,2016-08-28,Pasture
10,-55.0333,-15.1894,2015-09-14,2016-08-28,Pasture
11,-55.0322,-15.1935,2015-09-14,2016-08-28,Pasture
12,-55.0306,-15.1956,2015-09-14,2016-08-28,Pasture
13,-55.1857,-15.3637,2015-09-14,2016-08-28,Soy_Cotton
14,-55.1852,-15.3616,2015-09-14,2016-08-28,Soy_Cotton
15,-55.1744,-15.3616,2015-09-14,2016-08-28,Soy_Cotton
16,-55.1647,-15.3658,2015-09-14,2016-08-28,Soy_Cotton
17,-55.3147,-15.6097,2015-09-14,2016-08-28,Soy_Cotton
18,-55.0628,-15.4778,2015-09-14,2016-08-28,Soy_Cotton
19,-55.0629,-15.4861,2015-09-14,2016-08-28,Soy_Cotton
20,-55.0624,-15.484,2015-09-14,2016-08-28,Soy_Cotton
21,-55.0618,-15.4819,2015-09-14,2016-08-28,Soy_Cotton
22,-55.0612,-15.4798,2015-09-14,2016-08-28,Soy_Cotton
23,-55.0607,-15.4778,2015-09-14,2016-08-28,Soy_Cotton
24,-55.0591,-15.4798,2015-09-14,2016-08-28,Soy_Cotton
25,-55.0585,-15.4778,2015-09-14,2016-08-28,Soy_Cotton
26,-55.2327,-15.4567,2015-09-14,2016-08-28,Soy_Corn
27,-55.3022,-15.6188,2015-09-14,2016-08-28,Soy_Corn
28,-55.2895,-15.5894,2015-09-14,2016-08-28,Soy_Corn
29,-55.288,-15.5998,2015-09-14,2016-08-28,Soy_Corn
30,-55.3024,-15.5922,2015-09-14,2016-08-28,Soy_Corn
31,-55.2902,-15.5998,2015-09-14,2016-08-28,Soy_Corn
32,-55.2896,-15.5977,2015-09-14,2016-08-28,Soy_Corn
33,-55.2891,-15.5956,2015-09-14,2016-08-28,Soy_Corn
34,-55.2885,-15.5935,2015-09-14,2016-08-28,Soy_Corn
35,-55.2879,-15.5914,2015-09-14,2016-08-28,Soy_Corn
36,-55.2874,-15.5894,2015-09-14,2016-08-28,Soy_Corn
37,-55.2868,-15.5873,2015-09-14,2016-08-28,Soy_Corn
38,-55.2924,-15.6147,2015-09-14,2016-08-28,Soy_Corn
39,-55.2902,-15.6147,2015-09-14,2016-08-28,Soy_Corn
40,-55.2983,-15.6096,2015-09-14,2016-08-28,Soy_Corn
41,-46.5859,-10.4142,2005-09-14,2006-08-29,Cerrado
42,-46.5859,-10.4142,2004-09-13,2005-08-29,Cerrado
43,-46.4070,-10.8630,2007-09-13,2008-08-29,Cerrado
44,-46.4070,-10.8630,2006-09-13,2007-08-29,Cerrado
45,-46.4070,-10.8630,2005-09-13,2006-08-29,Cerrado
46,-46.9063,-10.7443,2007-09-13,2008-08-29,Cerrado
47,-46.9063,-10.7443,2006-09-13,2007-08-29,Cerrado
48,-46.9063,-10.7443,2005-09-13,2006-08-29,Cerrado
49,-46.9063,-10.7443,2004-09-13,2005-08-29,Cerrado
50,-46.9063,-10.7443,2003-09-13,2004-08-29,Cerrado
51,-46.9645,-10.6329,2008-09-13,2009-08-29,Cerrado
52,-46.9645,-10.6329,2007-09-13,2008-08-29,Cerrado
53,-46.9645,-10.6329,2006-09-13,2007-08-29,Cerrado
54,-46.9645,-10.6329,2005-09-13,2006-08-29,Cerrado
55,-46.9645,-10.6329,2004-09-13,2005-08-29,Cerrado
56,-46.9794,-10.5896,2008-09-13,2009-08-29,Cerrado
57,-46.9794,-10.5896,2007-09-13,2008-08-29,Cerrado
58,-46.9794,-10.5896,2006-09-13,2007-08-29,Cerrado
59,-52.7774,-18.1224,2004-09-13,2005-08-29,Cerrado
60,-52.7774,-18.1224,2003-09-13,2004-08-29,Cerrado
