id,longitude,latitude,start_date,end_date,label
2,-55.0399,-15.1933,2015-09-14,2016-08-28,Pasture
3,-55.0383,-15.1954,2015-09-14,2016-08-28,Pasture
4,-55.0378,-15.1933,2015-09-14,2016-08-28,Pasture
5,-55.0367,-15.1975,2015-09-14,2016-08-28,Pasture
6,-55.0362,-15.1954,2015-09-14,2016-08-28,Pasture
21,-55.0468,-15.2006,2015-09-14,2016-08-28,Pasture
22,-55.0462,-15.1985,2015-09-14,2016-08-28,Pasture
23,-55.0457,-15.2047,2015-09-14,2016-08-28,Pasture
24,-55.0452,-15.2027,2015-09-14,2016-08-28,Pasture
25,-55.0446,-15.2006,2015-09-14,2016-08-28,Pasture
26,-55.0441,-15.1985,2015-09-14,2016-08-28,Pasture
27,-55.0435,-15.1964,2015-09-14,2016-08-28,Pasture
12,-55.0338,-15.1915,2015-09-14,2016-08-28,Pasture
13,-55.0333,-15.1894,2015-09-14,2016-08-28,Pasture
14,-55.0322,-15.1935,2015-09-14,2016-08-28,Pasture
15,-55.0317,-15.1915,2015-09-14,2016-08-28,Pasture
16,-55.0306,-15.1956,2015-09-14,2016-08-28,Pasture
17,-55.03,-15.1935,2015-09-14,2016-08-28,Pasture
18,-55.0284,-15.1956,2015-09-14,2016-08-28,Pasture
19,-55.0489,-15.2006,2015-09-14,2016-08-28,Pasture
20,-55.0473,-15.2027,2015-09-14,2016-08-28,Pasture
28,-55.0441,-15.2068,2015-09-14,2016-08-28,Pasture
29,-55.0435,-15.2047,2015-09-14,2016-08-28,Pasture
30,-55.043,-15.2027,2015-09-14,2016-08-28,Pasture
31,-55.0425,-15.2006,2015-09-14,2016-08-28,Pasture
32,-55.0419,-15.1985,2015-09-14,2016-08-28,Pasture
33,-55.0425,-15.2089,2015-09-14,2016-08-28,Pasture
34,-55.0419,-15.2068,2015-09-14,2016-08-28,Pasture
35,-55.0414,-15.2047,2015-09-14,2016-08-28,Pasture
36,-55.0408,-15.2027,2015-09-14,2016-08-28,Pasture
37,-55.0403,-15.2006,2015-09-14,2016-08-28,Pasture
38,-55.0409,-15.211,2015-09-14,2016-08-28,Pasture
39,-55.0403,-15.2089,2015-09-14,2016-08-28,Pasture
40,-55.0398,-15.2068,2015-09-14,2016-08-28,Pasture
41,-55.0392,-15.2047,2015-09-14,2016-08-28,Pasture
42,-55.0387,-15.2027,2015-09-14,2016-08-28,Pasture
43,-55.0392,-15.2131,2015-09-14,2016-08-28,Pasture
44,-55.0387,-15.211,2015-09-14,2016-08-28,Pasture
45,-55.0382,-15.2089,2015-09-14,2016-08-28,Pasture
46,-55.0376,-15.2068,2015-09-14,2016-08-28,Pasture
47,-55.0371,-15.2047,2015-09-14,2016-08-28,Pasture
48,-55.0371,-15.2131,2015-09-14,2016-08-28,Pasture
49,-55.0365,-15.211,2015-09-14,2016-08-28,Pasture
50,-55.036,-15.2089,2015-09-14,2016-08-28,Pasture
51,-55.0355,-15.2068,2015-09-14,2016-08-28,Pasture
52,-55.0344,-15.211,2015-09-14,2016-08-28,Pasture
53,-55.0338,-15.2089,2015-09-14,2016-08-28,Pasture
91,-55.0034,-15.1683,2015-09-14,2016-08-28,Pasture
92,-55.0029,-15.1662,2015-09-14,2016-08-28,Pasture
93,-55.0023,-15.1641,2015-09-14,2016-08-28,Pasture
94,-55.0013,-15.1683,2015-09-14,2016-08-28,Pasture
95,-55.0007,-15.1662,2015-09-14,2016-08-28,Pasture
96,-55.0002,-15.1641,2015-09-14,2016-08-28,Pasture
97,-54.9991,-15.1683,2015-09-14,2016-08-28,Pasture
98,-54.9986,-15.1662,2015-09-14,2016-08-28,Pasture
154,-54.9981,-15.1616,2015-09-14,2016-08-28,Pasture
155,-54.9965,-15.1636,2015-09-14,2016-08-28,Pasture
156,-54.9959,-15.1616,2015-09-14,2016-08-28,Pasture
157,-54.9954,-15.1595,2015-09-14,2016-08-28,Pasture
158,-54.9949,-15.1657,2015-09-14,2016-08-28,Pasture
159,-54.9943,-15.1636,2015-09-14,2016-08-28,Pasture
160,-54.9938,-15.1616,2015-09-14,2016-08-28,Pasture
161,-54.9922,-15.1636,2015-09-14,2016-08-28,Pasture
90,-55.005,-15.1662,2015-09-14,2016-08-28,Pasture
222,-54.9929,-15.1576,2015-09-14,2016-08-28,Pasture
223,-54.9913,-15.1597,2015-09-14,2016-08-28,Pasture
224,-54.9908,-15.1576,2015-09-14,2016-08-28,Pasture
225,-54.9902,-15.1555,2015-09-14,2016-08-28,Pasture
226,-54.9892,-15.1597,2015-09-14,2016-08-28,Pasture
227,-54.9886,-15.1576,2015-09-14,2016-08-28,Pasture
228,-54.987,-15.1597,2015-09-14,2016-08-28,Pasture
239,-54.9838,-15.1496,2015-09-14,2016-08-28,Pasture
240,-54.9822,-15.1517,2015-09-14,2016-08-28,Pasture
241,-54.9816,-15.1496,2015-09-14,2016-08-28,Pasture
242,-55.0108,-15.1297,2015-09-14,2016-08-28,Pasture
243,-55.0102,-15.1276,2015-09-14,2016-08-28,Pasture
244,-55.0097,-15.1255,2015-09-14,2016-08-28,Pasture
245,-55.0091,-15.1318,2015-09-14,2016-08-28,Pasture
246,-55.0086,-15.1297,2015-09-14,2016-08-28,Pasture
247,-55.0075,-15.1339,2015-09-14,2016-08-28,Pasture
248,-55.007,-15.1318,2015-09-14,2016-08-28,Pasture
249,-55.0059,-15.1359,2015-09-14,2016-08-28,Pasture
250,-55.0054,-15.1339,2015-09-14,2016-08-28,Pasture
251,-55.0048,-15.1401,2015-09-14,2016-08-28,Pasture
252,-55.0043,-15.138,2015-09-14,2016-08-28,Pasture
253,-55.0038,-15.1359,2015-09-14,2016-08-28,Pasture
254,-55.0032,-15.1422,2015-09-14,2016-08-28,Pasture
255,-55.0027,-15.1401,2015-09-14,2016-08-28,Pasture
256,-55.0021,-15.138,2015-09-14,2016-08-28,Pasture
257,-55.0016,-15.1443,2015-09-14,2016-08-28,Pasture
258,-55.0011,-15.1422,2015-09-14,2016-08-28,Pasture
259,-55.0005,-15.1401,2015-09-14,2016-08-28,Pasture
260,-55,-15.1464,2015-09-14,2016-08-28,Pasture
261,-54.9994,-15.1443,2015-09-14,2016-08-28,Pasture
262,-54.9989,-15.1422,2015-09-14,2016-08-28,Pasture
263,-54.9984,-15.1484,2015-09-14,2016-08-28,Pasture
264,-54.9978,-15.1464,2015-09-14,2016-08-28,Pasture
265,-54.9973,-15.1443,2015-09-14,2016-08-28,Pasture
266,-54.9967,-15.1505,2015-09-14,2016-08-28,Pasture
267,-54.9962,-15.1484,2015-09-14,2016-08-28,Pasture
