id,longitude,latitude,start_date,end_date,label
1,-54.2313,-14.0482,2000-09-13,2001-08-29,Savanna
1,-54.2313,-14.0482,2001-09-14,2002-08-29,Savanna
1,-54.2313,-14.0482,2002-09-14,2003-08-29,Savanna
1,-54.2313,-14.0482,2003-09-14,2004-08-28,Savanna
1,-54.2313,-14.0482,2004-09-13,2005-08-29,Savanna
1,-54.2313,-14.0482,2005-09-14,2006-08-29,Savanna
1,-54.2313,-14.0482,2006-09-14,2007-08-29,Savanna
1,-54.2313,-14.0482,2007-09-14,2008-08-28,Savanna
1,-54.2313,-14.0482,2008-09-13,2009-08-29,Savanna
1,-54.2313,-14.0482,2009-09-14,2010-08-29,Savanna
1,-54.2313,-14.0482,2010-09-14,2011-08-29,Savanna
1,-54.2313,-14.0482,2011-09-14,2012-08-28,Savanna
1,-54.2313,-14.0482,2012-09-13,2013-08-29,Savanna
1,-54.2313,-14.0482,2013-09-14,2014-08-29,Savanna
1,-54.2313,-14.0482,2014-09-14,2015-08-29,Savanna
2,-54.229,-14.0632,2000-09-13,2001-08-29,Savanna
2,-54.229,-14.0632,2001-09-14,2002-08-29,Savanna
2,-54.229,-14.0632,2002-09-14,2003-08-29,Savanna
2,-54.229,-14.0632,2003-09-14,2004-08-28,Savanna
2,-54.229,-14.0632,2004-09-13,2005-08-29,Savanna
2,-54.229,-14.0632,2005-09-14,2006-08-29,Savanna
2,-54.229,-14.0632,2006-09-14,2007-08-29,Savanna
2,-54.229,-14.0632,2007-09-14,2008-08-28,Savanna
2,-54.229,-14.0632,2008-09-13,2009-08-29,Savanna
2,-54.229,-14.0632,2009-09-14,2010-08-29,Savanna
2,-54.229,-14.0632,2010-09-14,2011-08-29,Savanna
2,-54.229,-14.0632,2011-09-14,2012-08-28,Savanna
2,-54.229,-14.0632,2012-09-13,2013-08-29,Savanna
2,-54.229,-14.0632,2013-09-14,2014-08-29,Savanna
2,-54.229,-14.0632,2014-09-14,2015-08-29,Savanna
3,-54.5421,-14.3098,2012-09-13,2013-08-29,Savanna
4,-52.6234,-15.3137,2005-09-14,2006-08-29,Savanna
4,-52.6234,-15.3137,2006-09-14,2007-08-29,Savanna
4,-52.6234,-15.3137,2007-09-14,2008-08-28,Savanna
4,-52.6234,-15.3137,2008-09-13,2009-08-29,Savanna
4,-52.6234,-15.3137,2009-09-14,2010-08-29,Savanna
4,-52.6234,-15.3137,2010-09-14,2011-08-29,Savanna
4,-52.6234,-15.3137,2011-09-14,2012-08-28,Savanna
4,-52.6234,-15.3137,2012-09-13,2013-08-29,Savanna
4,-52.6234,-15.3137,2013-09-14,2014-08-29,Savanna
5,-52.5824,-15.3168,2005-09-14,2006-08-29,Savanna
5,-52.5824,-15.3168,2006-09-14,2007-08-29,Savanna
5,-52.5824,-15.3168,2007-09-14,2008-08-28,Savanna
5,-52.5824,-15.3168,2008-09-13,2009-08-29,Savanna
