id,longitude,latitude,start_date,end_date,label
1,-54.7278,-2.4216,2015-08-01,2016-07-31,area-urbana
2,-54.6880,-2.4552,2015-08-01,2016-07-31,area-urbana
3,-54.7261,-2.4425,2015-08-01,2016-07-31,area-urbana
4,-54.4865,-2.4478,2015-08-01,2016-07-31,agua-branca
5,-54.6650,-2.2077,2015-08-01,2016-07-31,agua-branca
6,-54.8284,-2.1734,2015-08-01,2016-07-31,agua-branca
7,-55.2514,-3.2899,2015-08-01,2016-07-31,agua-clara
8,-55.1649,-2.9951,2015-08-01,2016-07-31,agua-clara
9,-55.0482,-2.5672,2015-08-01,2016-07-31,agua-clara
10,-54.9987,-3.6511,2015-08-01,2016-07-31,floresta
11,-54.9761,-3.5655,2015-08-01,2016-07-31,floresta
12,-54.3148,-3.0980,2015-08-01,2016-07-31,floresta
13,-54.3588,-3.3530,2015-08-01,2016-07-31,floresta
14,-54.6585,-2.7290,2015-08-01,2016-07-31,Soja-comercial
15,-54.6451,-2.7290,2015-08-01,2016-07-31,Soja-comercial
16,-54.6350,-2.7229,2015-08-01,2016-07-31,Soja-comercial
17,-54.7031,-2.7985,2015-08-01,2016-07-31,Soja-comercial
18,-54.7030,-2.7462,2015-08-01,2016-07-31,pasto
19,-54.6931,-2.7295,2015-08-01,2016-07-31,pasto
20,-54.6688,-2.7227,2015-08-01,2016-07-31,pasto
